wavelength	absorption
nm	
250.0	0.153
250.5	0.154
251.0	0.154
251.5	0.155
252.0	0.157
252.5	0.158
253.0	0.160
253.5	0.163
254.0	0.165
254.5	0.168
255.0	0.172
255.5	0.176
256.0	0.180
256.5	0.184
257.0	0.189
257.5	0.194
258.0	0.200
258.5	0.205
259.0	0.211
259.5	0.218
260.0	0.224
260.5	0.231
261.0	0.239
261.5	0.246
262.0	0.255
262.5	0.263
263.0	0.273
263.5	0.282
264.0	0.293
264.5	0.303
265.0	0.315
265.5	0.327
266.0	0.339
266.5	0.351
267.0	0.364
267.5	0.376
268.0	0.388
268.5	0.399
269.0	0.410
269.5	0.420
270.0	0.430
270.5	0.438
271.0	0.446
271.5	0.452
272.0	0.458
272.5	0.464
273.0	0.469
273.5	0.473
274.0	0.477
274.5	0.481
275.0	0.485
275.5	0.489
276.0	0.493
276.5	0.497
277.0	0.500
277.5	0.503
278.0	0.506
278.5	0.507
279.0	0.507
279.5	0.506
280.0	0.502
280.5	0.496
281.0	0.488
281.5	0.478
282.0	0.465
282.5	0.451
283.0	0.434
283.5	0.416
284.0	0.397
284.5	0.377
285.0	0.357
285.5	0.337
286.0	0.317
286.5	0.298
287.0	0.279
287.5	0.262
288.0	0.246
288.5	0.231
289.0	0.217
289.5	0.204
290.0	0.193
290.5	0.182
291.0	0.172
291.5	0.162
292.0	0.153
292.5	0.145
293.0	0.137
293.5	0.129
294.0	0.122
294.5	0.115
295.0	0.109
295.5	0.104
296.0	0.099
296.5	0.095
297.0	0.091
297.5	0.088
298.0	0.086
298.5	0.084
299.0	0.082
299.5	0.081
300.0	0.079
300.5	0.077
301.0	0.076
301.5	0.074
302.0	0.072
302.5	0.070
303.0	0.068
303.5	0.066
304.0	0.064
304.5	0.061
305.0	0.059
305.5	0.056
306.0	0.054
306.5	0.052
307.0	0.050
307.5	0.049
308.0	0.047
308.5	0.045
309.0	0.044
309.5	0.043
310.0	0.042
310.5	0.041
311.0	0.040
311.5	0.039
312.0	0.038
312.5	0.037
313.0	0.036
313.5	0.036
314.0	0.035
314.5	0.035
315.0	0.034
315.5	0.034
316.0	0.033
316.5	0.033
317.0	0.033
317.5	0.033
318.0	0.032
318.5	0.032
319.0	0.032
319.5	0.032
320.0	0.032
320.5	0.032
321.0	0.032
321.5	0.032
322.0	0.032
322.5	0.032
323.0	0.032
323.5	0.032
324.0	0.032
324.5	0.032
325.0	0.032
325.5	0.032
326.0	0.032
326.5	0.032
327.0	0.032
327.5	0.033
328.0	0.033
328.5	0.033
329.0	0.033
329.5	0.034
330.0	0.034
330.5	0.034
331.0	0.035
331.5	0.035
332.0	0.036
332.5	0.036
333.0	0.037
333.5	0.037
334.0	0.038
334.5	0.039
335.0	0.039
335.5	0.040
336.0	0.041
336.5	0.041
337.0	0.042
337.5	0.043
338.0	0.043
338.5	0.044
339.0	0.044
339.5	0.045
340.0	0.045
340.5	0.046
341.0	0.046
341.5	0.047
342.0	0.047
342.5	0.047
343.0	0.048
343.5	0.048
344.0	0.048
344.5	0.048
345.0	0.049
345.5	0.049
346.0	0.049
346.5	0.050
347.0	0.050
347.5	0.050
348.0	0.051
348.5	0.051
349.0	0.052
349.5	0.053
350.0	0.053
350.5	0.054
351.0	0.054
351.5	0.055
352.0	0.056
352.5	0.057
353.0	0.057
353.5	0.058
354.0	0.059
354.5	0.060
355.0	0.060
355.5	0.061
356.0	0.062
356.5	0.062
357.0	0.063
357.5	0.063
358.0	0.064
358.5	0.064
359.0	0.064
359.5	0.065
360.0	0.065
360.5	0.065
361.0	0.065
361.5	0.065
362.0	0.065
362.5	0.065
363.0	0.066
363.5	0.066
364.0	0.066
364.5	0.066
365.0	0.066
365.5	0.066
366.0	0.066
366.5	0.067
367.0	0.067
367.5	0.067
368.0	0.068
368.5	0.068
369.0	0.068
369.5	0.069
370.0	0.070
370.5	0.070
371.0	0.071
371.5	0.072
372.0	0.072
372.5	0.073
373.0	0.074
373.5	0.074
374.0	0.075
374.5	0.076
375.0	0.076
375.5	0.076
376.0	0.077
376.5	0.077
377.0	0.077
377.5	0.077
378.0	0.076
378.5	0.076
379.0	0.075
379.5	0.074
380.0	0.073
380.5	0.072
381.0	0.071
381.5	0.070
382.0	0.069
382.5	0.067
383.0	0.066
383.5	0.064
384.0	0.063
384.5	0.061
385.0	0.060
385.5	0.059
386.0	0.058
386.5	0.056
387.0	0.055
387.5	0.054
388.0	0.054
388.5	0.053
389.0	0.053
389.5	0.052
390.0	0.052
390.5	0.052
391.0	0.051
391.5	0.051
392.0	0.052
392.5	0.052
393.0	0.052
393.5	0.052
394.0	0.053
394.5	0.053
395.0	0.053
395.5	0.054
396.0	0.054
396.5	0.055
397.0	0.055
397.5	0.055
398.0	0.056
398.5	0.056
399.0	0.056
399.5	0.056
400.0	0.057
400.5	0.057
401.0	0.057
401.5	0.057
402.0	0.057
402.5	0.056
403.0	0.056
403.5	0.056
404.0	0.055
404.5	0.055
405.0	0.054
405.5	0.054
406.0	0.053
406.5	0.053
407.0	0.052
407.5	0.051
408.0	0.050
408.5	0.050
409.0	0.049
409.5	0.048
410.0	0.047
410.5	0.046
411.0	0.045
411.5	0.044
412.0	0.043
412.5	0.043
413.0	0.042
413.5	0.041
414.0	0.040
414.5	0.039
415.0	0.038
415.5	0.037
416.0	0.036
416.5	0.035
417.0	0.034
417.5	0.033
418.0	0.032
418.5	0.031
419.0	0.030
419.5	0.029
420.0	0.028
420.5	0.027
421.0	0.027
421.5	0.026
422.0	0.025
422.5	0.024
423.0	0.023
423.5	0.022
424.0	0.021
424.5	0.020
425.0	0.020
425.5	0.019
426.0	0.018
426.5	0.017
427.0	0.017
427.5	0.016
428.0	0.015
428.5	0.015
429.0	0.014
429.5	0.013
430.0	0.013
430.5	0.012
431.0	0.012
431.5	0.011
432.0	0.011
432.5	0.010
433.0	0.010
433.5	0.010
434.0	0.009
434.5	0.009
435.0	0.008
435.5	0.008
436.0	0.008
436.5	0.008
437.0	0.007
437.5	0.007
438.0	0.007
438.5	0.007
439.0	0.007
439.5	0.007
440.0	0.006
440.5	0.006
441.0	0.006
441.5	0.006
442.0	0.006
442.5	0.006
443.0	0.006
443.5	0.005
444.0	0.005
444.5	0.005
445.0	0.005
445.5	0.005
446.0	0.005
446.5	0.005
447.0	0.005
447.5	0.005
448.0	0.004
448.5	0.004
449.0	0.004
449.5	0.004
450.0	0.004
450.5	0.004
451.0	0.004
451.5	0.004
452.0	0.004
452.5	0.004
453.0	0.004
453.5	0.004
454.0	0.004
454.5	0.004
455.0	0.004
455.5	0.004
456.0	0.004
456.5	0.004
457.0	0.004
457.5	0.004
458.0	0.004
458.5	0.004
459.0	0.004
459.5	0.004
460.0	0.004
460.5	0.004
461.0	0.004
461.5	0.004
462.0	0.004
462.5	0.005
463.0	0.005
463.5	0.005
464.0	0.005
464.5	0.005
465.0	0.005
465.5	0.005
466.0	0.005
466.5	0.006
467.0	0.006
467.5	0.006
468.0	0.006
468.5	0.006
469.0	0.006
469.5	0.007
470.0	0.007
470.5	0.007
471.0	0.007
471.5	0.007
472.0	0.007
472.5	0.008
473.0	0.008
473.5	0.008
474.0	0.008
474.5	0.008
475.0	0.008
475.5	0.009
476.0	0.009
476.5	0.009
477.0	0.009
477.5	0.010
478.0	0.010
478.5	0.010
479.0	0.010
479.5	0.010
480.0	0.011
480.5	0.011
481.0	0.011
481.5	0.011
482.0	0.011
482.5	0.012
483.0	0.012
483.5	0.012
484.0	0.012
484.5	0.013
485.0	0.013
485.5	0.013
486.0	0.013
486.5	0.014
487.0	0.014
487.5	0.014
488.0	0.015
488.5	0.015
489.0	0.015
489.5	0.016
490.0	0.016
490.5	0.017
491.0	0.017
491.5	0.018
492.0	0.018
492.5	0.019
493.0	0.019
493.5	0.020
494.0	0.021
494.5	0.021
495.0	0.022
495.5	0.023
496.0	0.023
496.5	0.024
497.0	0.025
497.5	0.026
498.0	0.026
498.5	0.027
499.0	0.028
499.5	0.029
500.0	0.030
500.5	0.031
501.0	0.032
501.5	0.033
502.0	0.034
502.5	0.035
503.0	0.036
503.5	0.037
504.0	0.038
504.5	0.039
505.0	0.040
505.5	0.041
506.0	0.042
506.5	0.044
507.0	0.045
507.5	0.046
508.0	0.047
508.5	0.048
509.0	0.049
509.5	0.050
510.0	0.051
510.5	0.052
511.0	0.053
511.5	0.054
512.0	0.055
512.5	0.056
513.0	0.057
513.5	0.058
514.0	0.059
514.5	0.060
515.0	0.061
515.5	0.062
516.0	0.063
516.5	0.064
517.0	0.065
517.5	0.065
518.0	0.066
518.5	0.067
519.0	0.068
519.5	0.069
520.0	0.069
520.5	0.070
521.0	0.071
521.5	0.072
522.0	0.073
522.5	0.074
523.0	0.075
523.5	0.076
524.0	0.077
524.5	0.078
525.0	0.080
525.5	0.081
526.0	0.083
526.5	0.084
527.0	0.086
527.5	0.087
528.0	0.089
528.5	0.091
529.0	0.093
529.5	0.095
530.0	0.098
530.5	0.100
531.0	0.103
531.5	0.105
532.0	0.108
532.5	0.111
533.0	0.114
533.5	0.117
534.0	0.120
534.5	0.124
535.0	0.127
535.5	0.131
536.0	0.135
536.5	0.139
537.0	0.143
537.5	0.148
538.0	0.152
538.5	0.157
539.0	0.162
539.5	0.166
540.0	0.171
540.5	0.177
541.0	0.182
541.5	0.187
542.0	0.193
542.5	0.198
543.0	0.204
543.5	0.209
544.0	0.215
544.5	0.221
545.0	0.226
545.5	0.232
546.0	0.238
546.5	0.243
547.0	0.249
547.5	0.254
548.0	0.260
548.5	0.265
549.0	0.270
549.5	0.275
550.0	0.280
550.5	0.284
551.0	0.289
551.5	0.293
552.0	0.297
552.5	0.300
553.0	0.303
553.5	0.306
554.0	0.309
554.5	0.312
555.0	0.314
555.5	0.316
556.0	0.317
556.5	0.319
557.0	0.320
557.5	0.320
558.0	0.321
558.5	0.321
559.0	0.321
559.5	0.321
560.0	0.321
560.5	0.320
561.0	0.319
561.5	0.319
562.0	0.318
562.5	0.317
563.0	0.316
563.5	0.314
564.0	0.313
564.5	0.312
565.0	0.311
565.5	0.310
566.0	0.309
566.5	0.309
567.0	0.308
567.5	0.308
568.0	0.308
568.5	0.308
569.0	0.308
569.5	0.309
570.0	0.309
570.5	0.311
571.0	0.312
571.5	0.314
572.0	0.316
572.5	0.319
573.0	0.322
573.5	0.325
574.0	0.329
574.5	0.333
575.0	0.338
575.5	0.343
576.0	0.349
576.5	0.355
577.0	0.361
577.5	0.368
578.0	0.376
578.5	0.384
579.0	0.392
579.5	0.401
580.0	0.410
580.5	0.420
581.0	0.431
581.5	0.442
582.0	0.453
582.5	0.465
583.0	0.477
583.5	0.490
584.0	0.503
584.5	0.517
585.0	0.531
585.5	0.546
