wavelength	fluorescence
nm	a.u.
540.0	0.000
540.5	0.000
541.0	0.000
541.5	0.000
542.0	0.000
542.5	0.000
543.0	0.000
543.5	0.000
544.0	0.000
544.5	0.000
545.0	0.000
545.5	0.000
546.0	0.000
546.5	0.000
547.0	0.000
547.5	0.000
548.0	0.000
548.5	0.000
549.0	0.000
549.5	0.000
550.0	0.000
550.5	0.000
551.0	0.000
551.5	0.000
552.0	0.000
552.5	0.000
553.0	0.000
553.5	0.000
554.0	0.000
554.5	0.000
555.0	0.000
555.5	0.000
556.0	0.001
556.5	0.001
557.0	0.001
557.5	0.001
558.0	0.001
558.5	0.001
559.0	0.001
559.5	0.001
560.0	0.001
560.5	0.001
561.0	0.001
561.5	0.001
562.0	0.001
562.5	0.002
563.0	0.002
563.5	0.002
564.0	0.002
564.5	0.002
565.0	0.002
565.5	0.003
566.0	0.003
566.5	0.003
567.0	0.003
567.5	0.004
568.0	0.004
568.5	0.004
569.0	0.005
569.5	0.005
570.0	0.006
570.5	0.006
571.0	0.007
571.5	0.007
572.0	0.008
572.5	0.009
573.0	0.010
573.5	0.010
574.0	0.011
574.5	0.012
575.0	0.013
575.5	0.015
576.0	0.016
576.5	0.017
577.0	0.019
577.5	0.021
578.0	0.022
578.5	0.024
579.0	0.027
579.5	0.029
580.0	0.031
580.5	0.034
581.0	0.037
581.5	0.040
582.0	0.043
582.5	0.047
583.0	0.051
583.5	0.055
584.0	0.060
584.5	0.064
585.0	0.070
585.5	0.075
586.0	0.081
586.5	0.087
587.0	0.094
587.5	0.101
588.0	0.108
588.5	0.116
589.0	0.124
589.5	0.133
590.0	0.143
590.5	0.153
591.0	0.163
591.5	0.174
592.0	0.185
592.5	0.197
593.0	0.210
593.5	0.222
594.0	0.236
594.5	0.249
595.0	0.264
595.5	0.278
596.0	0.293
596.5	0.309
597.0	0.324
597.5	0.341
598.0	0.358
598.5	0.375
599.0	0.393
599.5	0.411
600.0	0.429
600.5	0.448
601.0	0.467
601.5	0.486
602.0	0.505
602.5	0.525
603.0	0.545
603.5	0.565
604.0	0.585
604.5	0.605
605.0	0.625
605.5	0.644
606.0	0.664
606.5	0.683
607.0	0.702
607.5	0.720
608.0	0.738
608.5	0.756
609.0	0.773
609.5	0.790
610.0	0.806
610.5	0.822
611.0	0.837
611.5	0.851
612.0	0.864
612.5	0.878
613.0	0.890
613.5	0.902
614.0	0.914
614.5	0.924
615.0	0.934
615.5	0.943
616.0	0.952
616.5	0.959
617.0	0.966
617.5	0.973
618.0	0.979
618.5	0.984
619.0	0.989
619.5	0.992
620.0	0.995
620.5	0.997
621.0	0.999
621.5	0.999
622.0	1.000
622.5	1.000
623.0	0.999
623.5	0.998
624.0	0.996
624.5	0.993
625.0	0.990
625.5	0.986
626.0	0.981
626.5	0.976
627.0	0.971
627.5	0.964
628.0	0.958
628.5	0.951
629.0	0.944
629.5	0.937
630.0	0.929
630.5	0.921
631.0	0.912
631.5	0.904
632.0	0.895
632.5	0.886
633.0	0.877
633.5	0.867
634.0	0.858
634.5	0.848
635.0	0.838
635.5	0.828
636.0	0.817
636.5	0.806
637.0	0.795
637.5	0.785
638.0	0.774
638.5	0.763
639.0	0.752
639.5	0.741
640.0	0.730
640.5	0.718
641.0	0.707
641.5	0.695
642.0	0.685
642.5	0.674
643.0	0.664
643.5	0.654
644.0	0.644
644.5	0.635
645.0	0.626
645.5	0.617
646.0	0.609
646.5	0.600
647.0	0.592
647.5	0.584
648.0	0.575
648.5	0.567
649.0	0.558
649.5	0.549
650.0	0.540
650.5	0.531
651.0	0.522
651.5	0.514
652.0	0.506
652.5	0.498
653.0	0.490
653.5	0.483
654.0	0.475
654.5	0.468
655.0	0.462
655.5	0.455
656.0	0.450
656.5	0.444
657.0	0.438
657.5	0.432
658.0	0.427
658.5	0.422
659.0	0.417
659.5	0.412
660.0	0.407
660.5	0.403
661.0	0.399
661.5	0.395
662.0	0.391
662.5	0.387
663.0	0.383
663.5	0.379
664.0	0.376
664.5	0.373
665.0	0.369
665.5	0.366
666.0	0.363
666.5	0.360
667.0	0.357
667.5	0.354
668.0	0.351
668.5	0.349
669.0	0.346
669.5	0.343
670.0	0.340
670.5	0.338
671.0	0.336
671.5	0.333
672.0	0.331
672.5	0.329
673.0	0.326
673.5	0.323
674.0	0.321
674.5	0.319
675.0	0.316
675.5	0.314
676.0	0.312
676.5	0.309
677.0	0.307
677.5	0.305
678.0	0.303
678.5	0.300
679.0	0.298
679.5	0.296
680.0	0.294
680.5	0.291
681.0	0.289
681.5	0.287
682.0	0.284
682.5	0.282
683.0	0.279
683.5	0.277
684.0	0.274
684.5	0.272
685.0	0.270
685.5	0.267
686.0	0.265
686.5	0.263
687.0	0.260
687.5	0.257
688.0	0.255
688.5	0.252
689.0	0.249
689.5	0.247
690.0	0.244
690.5	0.241
691.0	0.238
691.5	0.235
692.0	0.232
692.5	0.230
693.0	0.227
693.5	0.224
694.0	0.221
694.5	0.219
695.0	0.216
695.5	0.214
696.0	0.211
696.5	0.208
697.0	0.206
697.5	0.203
698.0	0.201
698.5	0.198
699.0	0.195
699.5	0.193
700.0	0.190
700.5	0.187
701.0	0.184
701.5	0.182
702.0	0.179
702.5	0.177
703.0	0.174
703.5	0.172
704.0	0.169
704.5	0.167
705.0	0.164
705.5	0.162
706.0	0.159
706.5	0.157
707.0	0.155
707.5	0.152
708.0	0.150
708.5	0.148
709.0	0.146
709.5	0.143
710.0	0.141
710.5	0.139
711.0	0.137
711.5	0.135
712.0	0.133
712.5	0.131
713.0	0.129
713.5	0.126
714.0	0.124
714.5	0.122
715.0	0.120
715.5	0.118
716.0	0.116
716.5	0.114
717.0	0.112
717.5	0.111
718.0	0.109
718.5	0.107
719.0	0.106
719.5	0.104
720.0	0.103
720.5	0.101
721.0	0.100
721.5	0.098
722.0	0.096
722.5	0.095
723.0	0.094
723.5	0.092
724.0	0.091
724.5	0.090
725.0	0.088
725.5	0.087
726.0	0.086
726.5	0.084
727.0	0.083
727.5	0.082
728.0	0.081
728.5	0.079
729.0	0.078
729.5	0.077
730.0	0.076
730.5	0.075
731.0	0.074
731.5	0.072
732.0	0.071
732.5	0.070
733.0	0.070
733.5	0.069
734.0	0.068
734.5	0.067
735.0	0.066
735.5	0.065
736.0	0.064
736.5	0.063
737.0	0.062
737.5	0.062
738.0	0.061
738.5	0.060
739.0	0.059
739.5	0.058
740.0	0.057
740.5	0.057
741.0	0.056
741.5	0.055
742.0	0.054
742.5	0.054
743.0	0.053
743.5	0.052
744.0	0.052
