Wavelength	Excitation
300	19.22462
301	19.18035
302	18.71635
303	17.28105
304	17.30864
305	16.52941
306	16.358
307	16.00607
308	14.80744
309	15.42564
310	14.97443
311	14.31978
312	14.44015
313	13.20476
314	13.87409
315	11.54138
316	11.42539
317	11.23494
318	10.78237
319	9.528053
320	9.803718
321	9.741466
322	9.032614
323	8.963997
324	8.696969
325	8.037335
326	7.569909
327	8.00328
328	7.661898
329	7.586916
330	7.015724
331	6.672498
332	6.729378
333	6.397058
334	6.314737
335	6.096887
336	6.500033
337	6.005242
338	5.959085
339	5.791668
340	5.715551
341	5.79852
342	6.235357
343	6.188693
344	6.324508
345	6.473823
346	6.309021
347	6.764446
348	6.474168
349	6.993001
350	7.271076
351	7.71292
352	7.974353
353	8.014064
354	8.526126
355	8.871136
356	9.189185
357	9.333352
358	9.759264
359	10.61706
360	10.61102
361	10.74777
362	11.17139
363	11.2616
364	11.42143
365	11.9682
366	12.091
367	11.79272
368	12.58662
369	12.45308
370	12.29657
371	12.74433
372	12.53562
373	11.6853
374	12.28074
375	12.72773
376	12.03842
377	11.90763
378	11.47845
379	11.97908
380	11.56513
381	11.35239
382	10.89103
383	10.55986
384	10.7247
385	10.33352
386	9.646578
387	9.167881
388	8.52122
389	8.111384
390	7.702339
391	7.301016
392	6.775899
393	5.935977
394	5.513674
395	5.366973
396	4.945988
397	4.319396
398	3.925837
399	3.583179
400	3.323306
401	3.27648
402	2.738613
403	2.652847
404	2.325331
405	2.260647
406	2.289452
407	1.996832
408	2.112305
409	1.965515
410	2.122055
411	1.735518
412	2.079952
413	2.04537
414	2.271249
415	2.295249
416	2.267437
417	2.493498
418	2.578737
419	2.849921
420	2.993236
421	3.144922
422	3.317833
423	3.655403
424	3.839666
425	4.049895
426	4.503455
427	5.017322
428	5.154494
429	5.46478
430	6.066683
431	6.407882
432	6.616104
433	7.288509
434	7.591477
435	8.018685
436	8.641488
437	9.380198
438	9.916545
439	10.54873
440	10.71447
441	11.28675
442	12.38722
443	13.11699
444	14.0561
445	14.97915
446	15.7714
447	16.63366
448	17.34535
449	18.60958
450	20.07413
451	20.9252
452	22.37376
453	23.40635
454	24.74606
455	25.91082
456	27.51323
457	29.13004
458	30.72008
459	32.24405
460	33.54706
461	36.12976
462	37.10276
463	38.95451
464	40.97004
465	42.18609
466	44.4094
467	46.21716
468	48.31215
469	49.319
470	50.72742
471	52.84856
472	54.30989
473	56.15839
474	57.24937
475	59.2424
476	60.13695
477	62.6325
478	64.0397
479	66.52714
480	67.80602
481	69.92696
482	71.93216
483	73.54876
484	76.35464
485	78.42775
486	81.47
487	82.96903
488	85.87648
489	88.36391
490	89.80721
491	92.13227
492	94.82404
493	96.29813
494	97.64696
495	98.75841
496	99.27917
497	99.02963
498	100
499	99.21856
500	97.74162
501	96.4299
502	93.45637
503	91.28738
504	87.92262
505	83.33249
506	79.17838
507	73.32679
508	68.36003
509	63.18528
510	58.28845
511	52.40139
512	47.54348
513	42.51367
514	37.29737
515	33.66057
516	29.28876
517	25.20215
518	22.42443
519	19.49479
520	16.81603
521	14.0666
522	12.2957
523	10.70605
