Wavelength	Emission
300	0
301	0
302	0
303	0
304	0
305	0
306	0
307	0
308	0
309	0
310	0
311	0
312	0
313	0
314	0
315	0
316	0
317	0
318	0
319	0
320	0
321	0
322	0
323	0
324	0
325	0
326	0
327	0
328	0
329	0
330	0
331	0
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	2.075283
481	1.489059
482	1.581631
483	1.762897
484	2.149817
485	2.456071
486	2.734384
487	3.356684
488	3.772632
489	4.413934
490	5.198096
491	6.148538
492	7.25663
493	8.503208
494	9.979663
495	11.60357
496	13.59095
497	15.89817
498	18.30458
499	21.57141
500	24.40153
501	28.16782
502	31.8569
503	36.08804
504	40.82587
505	44.95405
506	49.64902
507	54.88779
508	59.55564
509	64.43196
510	69.59116
511	73.82883
512	78.2928
513	82.9311
514	86.92716
515	89.95683
516	92.82034
517	95.79852
518	97.09062
519	98.85215
520	99.81498
521	99.85371
522	100
523	99.58154
524	98.44897
525	98.05804
526	96.96626
527	95.32909
528	94.09255
529	92.55682
530	90.17192
531	89.22235
532	86.315
533	84.87866
534	82.82507
535	82.05491
536	79.43607
537	78.13581
538	76.68979
539	75.22593
540	73.72893
541	72.25028
542	70.91486
543	69.6085
544	67.90456
545	67.10841
546	66.22305
547	64.6022
548	63.29482
549	62.75301
550	61.5185
551	60.17493
552	59.37776
553	57.94141
554	57.28084
555	55.78079
556	54.67779
557	54.17574
558	52.65326
559	51.72152
560	50.83025
561	49.13305
562	48.46575
563	47.37875
564	46.17805
565	44.80292
566	43.63306
567	42.78863
568	41.21487
569	39.92456
570	39.03218
571	38.35922
572	37.09383
573	35.80387
574	34.43028
575	33.64177
576	32.64449
577	31.77178
578	30.52285
579	30.06968
580	28.76555
581	27.88861
582	27.12161
583	26.37265
584	25.59388
585	24.97566
586	24.4996
587	23.25093
588	22.78532
589	22.30385
590	21.2214
591	21.38083
592	20.21331
593	19.69444
594	19.13743
595	18.63079
596	18.27909
597	17.82648
598	17.05326
599	16.98419
600	16.14161
601	15.79812
602	15.40453
603	15.00094
604	14.40184
605	14.30097
606	13.66756
607	13.23702
608	13.00913
609	12.22893
610	12.05063
611	11.79069
612	11.32217
613	11.3579
614	10.88622
615	10.49451
616	10.15001
617	9.796986
618	9.207108
619	9.138399
620	8.777174
621	8.531854
622	8.324507
623	8.339952
624	7.79248
625	7.715311
626	7.430897
627	7.273348
628	6.945814
629	6.837859
630	6.557318
631	6.253587
632	6.023304
633	5.835223
634	5.853725
635	5.41319
636	5.160989
637	5.235967
638	5.143711
639	4.791465
640	4.708588
641	4.570321
642	4.606418
643	4.480879
644	4.370595
645	3.797541
646	4.02785
647	3.830697
648	3.534581
649	3.557558
650	3.133771
651	3.348647
652	3.050405
653	3.006071
654	2.756546
655	3.016683
656	2.886204
657	2.942445
658	2.700392
659	2.451484
660	2.416024
661	2.423211
662	2.228
663	2.346205
664	2.167835
665	2.077974
666	2.033299
667	1.819351
668	1.648463
669	1.816314
670	1.416631
671	1.610221
672	1.68135
673	1.573374
674	1.462866
675	0
676	0
677	0
678	0
679	0
680	0
681	0
682	0
683	0
684	0
685	0
686	0
687	0
688	0
689	0
690	0
691	0
692	0
693	0
694	0
695	0
696	0
697	0
698	0
699	0
700	0
701	0
702	0
703	0
704	0
705	0
706	0
707	0
708	0
709	0
710	0
711	0
712	0
713	0
714	0
715	0
716	0
717	0
718	0
719	0
720	0
721	0
722	0
723	0
724	0
725	0
726	0
727	0
728	0
729	0
730	0
731	0
732	0
733	0
734	0
735	0
736	0
737	0
738	0
739	0
740	0
741	0
742	0
743	0
744	0
745	0
746	0
747	0
748	0
749	0
750	0
751	0
752	0
753	0
754	0
755	0
756	0
757	0
758	0
759	0
760	0
761	0
762	0
763	0
764	0
765	0
766	0
767	0
768	0
769	0
770	0
771	0
772	0
773	0
774	0
775	0
776	0
777	0
778	0
779	0
780	0
781	0
782	0
783	0
784	0
785	0
786	0
787	0
788	0
789	0
790	0
791	0
792	0
793	0
794	0
795	0
796	0
797	0
798	0
799	0
800	0
801	0
802	0
803	0
804	0
805	0
806	0
807	0
808	0
809	0
810	0
811	0
812	0
813	0
814	0
815	0
816	0
817	0
818	0
819	0
820	0
821	0
822	0
823	0
824	0
825	0
826	0
827	0
828	0
829	0
830	0
831	0
832	0
833	0
834	0
835	0
836	0
837	0
838	0
839	0
840	0
841	0
842	0
843	0
844	0
845	0
846	0
847	0
848	0
849	0
850	0
851	0
852	0
853	0
854	0
855	0
856	0
857	0
858	0
859	0
860	0
861	0
862	0
863	0
864	0
865	0
866	0
867	0
868	0
869	0
870	0
871	0
872	0
873	0
874	0
875	0
876	0
877	0
878	0
879	0
880	0
881	0
882	0
883	0
884	0
885	0
886	0
887	0
888	0
889	0
890	0
891	0
892	0
893	0
894	0
895	0
896	0
897	0
898	0
899	0
900	0
901	0
902	0
903	0
904	0
905	0
906	0
907	0
908	0
909	0
910	0
911	0
912	0
913	0
914	0
915	0
916	0
917	0
918	0
919	0
920	0
921	0
922	0
923	0
924	0
925	0
926	0
927	0
928	0
929	0
930	0
931	0
932	0
933	0
934	0
935	0
936	0
937	0
938	0
939	0
940	0
941	0
942	0
943	0
944	0
945	0
946	0
947	0
948	0
949	0
950	0
951	0
952	0
953	0
954	0
955	0
956	0
957	0
958	0
959	0
960	0
961	0
962	0
963	0
964	0
965	0
966	0
967	0
968	0
969	0
970	0
971	0
972	0
973	0
974	0
975	0
976	0
977	0
978	0
979	0
980	0
981	0
982	0
983	0
984	0
985	0
986	0
987	0
988	0
989	0
990	0
991	0
992	0
993	0
994	0
995	0
996	0
997	0
998	0
999	0
