Wavelength	Emission
300	0
301	0
302	0
303	0
304	0
305	0
306	0
307	0
308	0
309	0
310	0
311	0
312	0
313	0
314	0
315	0
316	0
317	0
318	0
319	0
320	0
321	0
322	0
323	0
324	0
325	0
326	0
327	0
328	0
329	0
330	0
331	0
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	4.177063
481	3.58034
482	3.750833
483	4.386627
484	5.525463
485	6.833015
486	8.435821
487	10.2917
488	12.44284
489	14.9314
490	18.28531
491	22.12139
492	26.55419
493	31.58371
494	37.16734
495	43.43293
496	49.86902
497	56.21809
498	63.43737
499	69.0805
500	74.72362
501	79.67411
502	85.32611
503	89.67722
504	93.20251
505	96.15948
506	98.85451
507	99.56046
508	100
509	99.98668
510	98.56591
511	96.52355
512	94.6588
513	93.18475
514	90.62736
515	87.84798
516	85.95657
517	83.32816
518	81.08157
519	78.43094
520	75.73148
521	74.06651
522	72.03304
523	69.95516
524	69.32025
525	67.7352
526	67.11362
527	65.83936
528	64.56955
529	64.27651
530	63.37521
531	63.19762
532	62.1942
533	62.283
534	61.5593
535	61.51046
536	61.48826
537	61.14639
538	61.20854
539	60.66687
540	60.61803
541	60.1696
542	60.15628
543	59.25055
544	58.76215
545	57.85197
546	57.13271
547	55.85846
548	55.16139
549	53.46091
550	52.67504
551	51.42743
552	50.40181
553	48.51485
554	47.39156
555	45.80651
556	44.1149
557	42.81712
558	41.15171
559	39.97514
560	38.45847
561	37.29921
562	35.93394
563	34.95982
564	33.69356
565	32.6888
566	31.68983
567	30.54478
568	29.59375
569	28.75727
570	27.57315
571	26.82414
572	25.85801
573	25.06238
574	24.57088
575	23.76904
576	23.43382
577	22.68348
578	21.99085
579	21.52022
580	20.76411
581	20.27794
582	19.69187
583	19.16441
584	18.63695
585	18.18763
586	17.71523
587	17.12472
588	16.71136
589	16.42055
590	15.94459
591	15.64712
592	14.99267
593	14.57621
594	14.15975
595	13.72597
596	13.3064
597	12.88683
598	12.40732
599	12.04768
600	11.68805
601	11.32842
602	10.90885
603	10.60915
604	10.32545
605	9.842383
606	9.540469
607	9.11779
608	8.815877
609	8.453581
610	8.151668
611	7.907473
612	7.603339
613	7.360032
614	7.055899
615	6.862319
616	6.617236
617	6.418328
618	6.233184
619	5.924611
620	5.780757
621	5.532123
622	5.321227
623	5.133419
624	4.980687
625	4.854593
626	4.698308
627	4.53936
628	4.347556
629	4.24899
630	4.148648
631	4.04653
632	3.942636
633	3.745505
634	3.704658
635	3.662922
636	3.486214
637	3.374329
638	3.260667
639	3.213604
640	3.165653
641	3.047551
642	2.927674
643	2.82378
644	2.770501
645	2.716334
646	2.517426
647	2.548506
648	2.564046
649	2.505883
650	2.372686
651	2.251032
652	2.264352
653	2.290992
654	2.227501
655	2.020157
656	2.031701
657	1.975758
658	1.907384
659	1.767971
660	1.787506
661	1.724903
662	1.734227
663	1.752875
664	1.602806
665	1.619678
666	1.464281
667	1.479377
668	1.494472
669	1.42077
670	1.434978
671	1.358611
672	1.286685
673	1.299116
674	1.217866
675	1.22941
676	1.246726
677	1.161479
678	1.172135
679	1.182791
680	1.093993
681	1.108644
682	1.016738
683	0.9230564
684	0.9350442
685	0.9430361
686	0.84891
687	0.8560138
688	0.8631177
689	0.8737735
690	0.8808773
691	0.6659859
692	0.7863073
693	0.6793056
694	0.6872975
695	0.6952893
696	0.5838476
697	0.472406
698	0.4777339
699	0.4830618
700	0.4883896
701	0.3702882
702	0.3742841
703	0.5025973
704	0.3809439
705	0.3862718
706	0.3902677
707	0.2628424
708	0.2655064
709	0
710	0.1358611
711	0
712	0
713	0
714	0
715	0
716	0
717	0
718	0
719	0
720	0
721	0
722	0
723	0
724	0
725	0
726	0
727	0
728	0
729	0
730	0
731	0
732	0
733	0
734	0
735	0
736	0
737	0
738	0
739	0
740	0
741	0
742	0
743	0
744	0
745	0
746	0
747	0
748	0
749	0
750	0
751	0
752	0
753	0
754	0
755	0
756	0
757	0
758	0
759	0
760	0
761	0
762	0
763	0
764	0
765	0
766	0
767	0
768	0
769	0
770	0
771	0
772	0
773	0
774	0
775	0
776	0
777	0
778	0
779	0
780	0
781	0
782	0
783	0
784	0
785	0
786	0
787	0
788	0
789	0
790	0
791	0
792	0
793	0
794	0
795	0
796	0
797	0
798	0
799	0
800	0
801	0
802	0
803	0
804	0
805	0
806	0
807	0
808	0
809	0
810	0
811	0
812	0
813	0
814	0
815	0
816	0
817	0
818	0
819	0
820	0
821	0
822	0
823	0
824	0
825	0
826	0
827	0
828	0
829	0
830	0
831	0
832	0
833	0
834	0
835	0
836	0
837	0
838	0
839	0
840	0
841	0
842	0
843	0
844	0
845	0
846	0
847	0
848	0
849	0
850	0
851	0
852	0
853	0
854	0
855	0
856	0
857	0
858	0
859	0
860	0
861	0
862	0
863	0
864	0
865	0
866	0
867	0
868	0
869	0
870	0
871	0
872	0
873	0
874	0
875	0
876	0
877	0
878	0
879	0
880	0
881	0
882	0
883	0
884	0
885	0
886	0
887	0
888	0
889	0
890	0
891	0
892	0
893	0
894	0
895	0
896	0
897	0
898	0
899	0
900	0
901	0
902	0
903	0
904	0
905	0
906	0
907	0
908	0
909	0
910	0
911	0
912	0
913	0
914	0
915	0
916	0
917	0
918	0
919	0
920	0
921	0
922	0
923	0
924	0
925	0
926	0
927	0
928	0
929	0
930	0
931	0
932	0
933	0
934	0
935	0
936	0
937	0
938	0
939	0
940	0
941	0
942	0
943	0
944	0
945	0
946	0
947	0
948	0
949	0
950	0
951	0
952	0
953	0
954	0
955	0
956	0
957	0
958	0
959	0
960	0
961	0
962	0
963	0
964	0
965	0
966	0
967	0
968	0
969	0
970	0
971	0
972	0
973	0
974	0
975	0
976	0
977	0
978	0
979	0
980	0
981	0
982	0
983	0
984	0
985	0
986	0
987	0
988	0
989	0
990	0
991	0
992	0
993	0
994	0
995	0
996	0
997	0
998	0
999	0
