Chroma 725dcxxr - CURRENT	
wavelength (nm)	Transmission (fractional)
500.0048	0.0139
503.4845	0.0121
506.966	0.0157
510.4463	0.0157
512.8803	9.49E-03
516.0111	5.09E-03
519.8394	5.08E-03
522.6242	6.84E-03
526.106	0.0112
529.5869	0.013
532.0216	8.59E-03
534.1097	8.59E-03
537.5891	5.94E-03
541.0703	8.58E-03
544.5527	0.0147
547.3378	0.0174
550.4713	0.0209
553.9516	0.0209
557.7802	0.0218
560.9123	0.0218
563.6979	0.0253
567.1788	0.027
570.3115	0.0288
572.7471	0.027
575.1816	0.0217
577.9649	0.0191
580.4008	0.0182
583.533	0.0182
585.9695	0.0191
588.0586	0.0217
589.8	0.0252
593.2802	0.0252
596.4122	0.0244
599.1958	0.0226
601.2821	0.0173
603.7174	0.0147
606.8493	0.0138
609.9828	0.0173
612.4215	0.0243
614.8589	0.0279
616.6002	0.0314
619.3822	0.0252
622.5133	0.0217
624.252	0.0173
627.3824	0.012
630.1647	6.71E-03
632.9493	7.59E-03
636.0815	7.59E-03
638.5186	0.0102
640.9564	0.0146
643.0476	0.0234
645.8333	0.0278
647.9197	0.0225
650.3537	0.0164
652.0911	8.45E-03
654.5264	5.80E-03
656.9623	4.92E-03
661.1386	4.92E-03
664.9668	4.91E-03
668.7949	4.03E-03
673.3195	4.90E-03
677.8439	4.90E-03
681.6724	5.77E-03
684.806	9.29E-03
687.2447	0.0163
689.3353	0.0234
692.1229	0.033
693.8658	0.041
697.3473	0.0445
701.5236	0.0445
705.0057	0.0498
707.7927	0.0577
709.5368	0.0691
710.5864	0.085
711.9828	0.0973
713.7309	0.1202
715.1405	0.1703
716.1968	0.2056
717.6226	0.3024
719.383	0.3605
720.0993	0.4186
721.1633	0.4758
722.5781	0.5409
723.6368	0.5832
724.692	0.6149
726.1003	0.6615
727.501	0.6862
728.909	0.7319
730.6596	0.7619
732.0643	0.798
733.1341	0.8719
734.5369	0.9026
735.9443	0.9466
737.6885	0.9582
739.0855	0.9723
741.1758	0.9784
744.3053	0.9705
747.7849	0.9687
752.3099	0.9705
756.4853	0.9678
760.3149	0.9713
764.1447	0.9757
767.625	0.9757
770.4077	0.9713
774.2338	0.9651
777.712	0.959
781.1922	0.959
784.3269	0.966
787.4625	0.9757
790.2489	0.9819
793.7301	0.9845
797.9052	0.9809
800.6876	0.9757
803.121	0.9678
805.5551	0.9616
808.3375	0.9563
811.8174	0.9554
815.9947	0.9581
819.8254	0.9651
823.6571	0.9748
827.8353	0.9801
833.0566	0.9827
837.929	0.9827
840.712	0.9792
844.5391	0.9757
849.0604	0.9668
853.9325	0.966
858.11	0.9695
862.9849	0.9765
866.815	0.9818
870.9912	0.9818
874.8184	0.9783
879.6896	0.9747
884.5604	0.9703
888.3869	0.9649
892.9119	0.9668
897.4378	0.9712
901.964	0.9765
907.5333	0.979
912.4057	0.979
916.2334	0.9773
920.0605	0.9738
924.5827	0.9676
928.0624	0.9659
932.5886	0.971
936.4175	0.9729
941.2911	0.9764
945.8167	0.9799
952.7769	0.979
957.9973	0.979
962.1724	0.9755
966.0011	0.9764
969.8306	0.9799
974.0069	0.9799
978.8793	0.9799
984.0994	0.979
989.3197	0.979
993.494	0.9727
997.6694	0.9702
1002.8889	0.9675
1008.1087	0.9658
1014.0249	0.9649
1019.5949	0.9693
1024.1208	0.9737
1027.9506	0.9781
1032.1276	0.9798
1037.3479	0.9798
1042.9163	0.9798
1046.7423	0.9727
1051.9621	0.971
1055.7913	0.9736
1058.9217	0.9684
1063.098	0.9684
1067.2762	0.9736
1071.8006	0.9736
1076.3249	0.9736
1079.4556	0.9691
1085.0229	0.9657
1088.5013	0.9604
1093.7196	0.9542
1097.5457	0.9481
