Chroma T725lpxr	
wavelength (nm)	Transmission (fractional)
380	0.261339
381	0.253783
382	0.260694
383	0.241412
3.84E+02	0.166348
3.85E+02	0.0751325
3.86E+02	0.0258612
3.87E+02	0.010781
388	0.0066935
389	0.0084375
3.90E+02	0.012121
3.91E+02	0.0134694
3.92E+02	0.0110213
3.93E+02	0.0077922
394	0.0072758
395	0.0126299
396	0.0277174
397	0.0440784
398	0.0444362
399	0.0348813
400	0.0319869
401	0.0329103
402	0.0288773
403	0.0203291
404	0.0153044
405	0.0185227
406	0.0270059
407	0.0308093
408	0.0240125
409	0.0143953
410	0.0102634
411	0.0116662
412	0.0133671
413	0.011051
414	0.0059855
415	0.0024859
416	0.0019219
417	0.0033971
418	0.0067796
419	0.0094758
420	0.0064872
421	0.0017296
422	0.000159
423	0.00006
424	0.0000425
4.25E+02	0.0000122
4.26E+02	0.0001086
4.27E+02	0.0003925
428	0.0005243
429	0.0011286
430	0.0066323
431	0.0171158
432	0.0173378
433	0.0060889
4.34E+02	0.00035
4.35E+02	0.0000717
4.36E+02	0.0000556
4.37E+02	0.0000949
4.38E+02	0.0003511
4.39E+02	0.0021131
4.40E+02	0.0056921
4.41E+02	0.0072379
4.42E+02	0.0041358
4.43E+02	0.0012014
444	0.0003663
445	0.0003035
446	0.0003406
447	0.0005674
448	0.0008428
449	0.0009228
450	0.0008192
451	0.0006329
452	0.0005096
453	0.0004019
454	0.0004336
455	0.0008285
456	0.0018279
457	0.0036388
458	0.0082809
459	0.0147942
460	0.0162302
461	0.0116464
462	0.0076227
463	0.0066342
464	0.0069457
465	0.0068048
466	0.0055016
467	0.0036513
468	0.0022446
469	0.0014945
470	0.0011572
471	0.001055
472	0.001168
473	0.0018192
474	0.0030182
475	0.0042689
476	0.0059429
477	0.0099279
478	0.0178597
479	0.0260032
480	0.0287854
481	0.0264881
482	0.0248808
483	0.0275804
484	0.0350713
485	0.0428738
486	0.0431174
487	0.0337832
488	0.0231123
489	0.0157768
490	0.0125051
491	0.01181
492	0.0134704
493	0.0179432
494	0.027495
495	0.0444292
496	0.0634735
497	0.0718531
498	0.0608015
499	0.0446735
500	0.0336914
501	0.0291771
502	0.0293791
503	0.0323505
504	0.037557
505	0.042319
506	0.0431512
507	0.0402004
508	0.0349121
509	0.0294953
510	0.025804
511	0.0238596
512	0.0231038
513	0.022774
514	0.0220362
515	0.0205531
516	0.01799
517	0.0152404
518	0.0126913
519	0.0106917
520	0.0093252
521	0.0084671
522	0.0079172
523	0.0077238
524	0.007703
525	0.0076648
526	0.0075232
527	0.0072415
528	0.0068518
529	0.0064861
530	0.0063516
531	0.0066183
532	0.0070044
533	0.0070474
534	0.0065963
535	0.0060997
536	0.0060725
537	0.0066213
538	0.0078376
539	0.0098936
540	0.012793
541	0.0164161
542	0.0199274
543	0.022206
544	0.021982
545	0.0197422
546	0.0170645
547	0.0147608
548	0.0133366
549	0.0126667
550	0.0126938
551	0.0133805
552	0.0147316
553	0.0168459
554	0.0198314
555	0.0233435
556	0.0265696
557	0.0285818
558	0.0291002
559	0.0278279
560	0.0251445
561	0.0218657
562	0.018928
563	0.0164383
564	0.0141891
565	0.0124834
566	0.0112023
567	0.0102709
568	0.0096477
569	0.0093022
570	0.009215
571	0.0093895
572	0.0098197
573	0.0104279
574	0.0112409
575	0.0119931
576	0.0125131
577	0.0125891
578	0.0121624
579	0.0112821
580	0.0100656
581	0.0087217
582	0.0074826
583	0.0064513
584	0.0055785
585	0.004953
586	0.0044956
587	0.0041476
588	0.003885
589	0.0037894
590	0.0038595
591	0.0040142
592	0.0042864
593	0.0047012
594	0.0054073
595	0.0064813
596	0.00796
597	0.0100457
598	0.0129645
599	0.0165967
600	0.0200542
601	0.0222658
602	0.022449
603	0.0206978
604	0.0182884
605	0.0158963
606	0.0138765
607	0.0123469
608	0.0113558
609	0.0110083
610	0.0111503
611	0.0117913
612	0.0130084
613	0.0151805
614	0.0184151
615	0.0225564
616	0.026807
617	0.0312053
618	0.0350825
619	0.036597
620	0.0345772
621	0.0293501
622	0.0232997
623	0.0182893
624	0.0145342
625	0.0117558
626	0.0097735
627	0.0084134
628	0.0075301
629	0.0069345
630	0.0065326
631	0.0063215
632	0.0063529
633	0.0065728
634	0.0069806
635	0.007731
636	0.0089343
637	0.0104994
638	0.0123708
639	0.01444
640	0.0173007
641	0.0213156
642	0.0273908
643	0.0350197
644	0.0404012
645	0.0406673
646	0.0359685
647	0.0284847
648	0.0210523
649	0.0155345
650	0.0119736
651	0.0094687
652	0.0075866
653	0.00641
654	0.005594
655	0.0049653
656	0.0045754
657	0.004321
658	0.0041822
659	0.0041251
660	0.0041774
661	0.0043068
662	0.0045164
663	0.004864
664	0.0053823
665	0.0061024
666	0.0071675
667	0.0084934
668	0.0101961
669	0.0127231
670	0.0161732
671	0.0201036
672	0.0242715
673	0.0276415
674	0.0289466
675	0.0277651
676	0.0247177
677	0.0210152
678	0.0173151
679	0.0143561
680	0.0120965
681	0.0103768
682	0.0090714
683	0.0081324
684	0.0074413
685	0.0069225
686	0.0065549
687	0.0063213
688	0.0061988
689	0.0061664
690	0.0062593
691	0.0064349
692	0.0066833
693	0.0070927
694	0.0077425
695	0.0086652
696	0.010269
697	0.0131843
698	0.0176632
699	0.0229532
700	0.0258108
701	0.025668
702	0.0248693
703	0.0257571
704	0.0286907
705	0.0334145
706	0.0405677
707	0.0501379
708	0.0630564
709	0.0804074
710	0.10355
711	0.133714
712	0.171214
713	0.214989
714	0.264389
715	0.314107
716	0.35861
717	0.393227
718	0.416291
719	0.430443
720	0.438438
721	0.444204
722	0.451593
723	0.462802
724	0.480599
725	0.507832
726	0.545597
727	0.59802
728	0.667476
729	0.745215
730	0.822031
731	0.888626
732	0.932004
733	0.954487
734	0.960397
735	0.958601
736	0.952733
737	0.947201
738	0.943928
739	0.942786
740	0.943466
741	0.944984
742	0.947856
743	0.95023
744	0.95248
745	0.955633
746	0.958174
747	0.960578
748	0.961946
749	0.962733
750	0.964453
751	0.967411
752	0.968481
753	0.969853
754	0.971694
755	0.972387
756	0.973227
757	0.974113
758	0.973987
759	0.973333
760	0.971749
761	0.969843
762	0.968385
763	0.965632
764	0.962974
765	0.961424
766	0.959739
767	0.958358
768	0.957957
769	0.9582
770	0.958833
771	0.95928
772	0.960639
773	0.962459
774	0.963762
775	0.965342
776	0.966912
777	0.967724
778	0.96825
779	0.968282
780	0.967565
781	0.966588
782	0.965529
783	0.964146
784	0.962455
785	0.961065
786	0.959876
787	0.958669
788	0.957899
789	0.957687
790	0.957487
791	0.957364
792	0.958329
793	0.960173
794	0.962186
795	0.964219
796	0.966667
797	0.968475
798	0.971417
799	0.974209
800	0.97682
801	0.978802
802	0.980347
803	0.98127
804	0.981794
805	0.981672
806	0.981872
807	0.981253
808	0.980222
809	0.978329
810	0.976377
811	0.974443
812	0.972273
813	0.970838
814	0.969315
815	0.968123
816	0.966896
817	0.965803
818	0.964861
819	0.964888
820	0.964298
821	0.964809
822	0.966064
823	0.966805
824	0.967164
825	0.967941
826	0.969196
827	0.969933
828	0.970496
829	0.971567
830	0.972411
831	0.97268
832	0.972449
833	0.971621
834	0.971274
835	0.971115
836	0.970104
837	0.969079
838	0.968253
839	0.967007
840	0.966228
841	0.965461
842	0.964297
843	0.962726
844	0.961277
845	0.961249
846	0.961896
847	0.96111
848	0.961665
849	0.962084
850	0.962609
851	0.963154
852	0.963839
853	0.965603
854	0.96727
855	0.968838
856	0.970667
857	0.972434
858	0.973963
859	0.976134
860	0.977981
861	0.978343
862	0.978907
863	0.980706
864	0.981564
865	0.981878
866	0.981924
867	0.981683
868	0.981039
869	0.980007
870	0.978552
871	0.977864
872	0.976573
873	0.974678
874	0.973261
875	0.971467
876	0.969864
877	0.968196
878	0.966327
879	0.96494
880	0.963439
881	0.961153
882	0.959727
883	0.958373
884	0.956964
885	0.956594
886	0.955851
887	0.954675
888	0.954421
889	0.954731
890	0.955038
891	0.955691
892	0.956399
893	0.956624
894	0.957732
895	0.95918
896	0.960364
897	0.962008
898	0.96338
899	0.964774
900	0.966218
901	0.967758
902	0.969049
903	0.970226
904	0.971341
905	0.972136
906	0.973776
907	0.975115
908	0.975537
909	0.975676
910	0.975825
911	0.976373
912	0.976457
913	0.976251
914	0.976427
915	0.976567
916	0.976813
917	0.976684
918	0.976606
919	0.976216
920	0.975523
921	0.975259
922	0.975067
923	0.97464
924	0.974376
925	0.974181
926	0.974088
927	0.974075
928	0.974086
929	0.974302
930	0.975093
931	0.975126
932	0.974441
933	0.974254
934	0.975106
935	0.975813
936	0.975791
937	0.975736
938	0.975755
939	0.975352
940	0.975092
941	0.975274
942	0.975791
943	0.976045
944	0.975663
945	0.975689
946	0.976116
947	0.975532
948	0.974208
949	0.974001
950	0.973896
951	0.97312
952	0.97227
953	0.971391
954	0.970938
955	0.970417
956	0.969506
957	0.968854
958	0.968365
959	0.968119
960	0.968141
961	0.967783
962	0.967139
963	0.966795
964	0.967235
965	0.967312
966	0.967199
967	0.967636
968	0.968298
969	0.968608
970	0.969154
971	0.969726
972	0.970033
973	0.970963
974	0.972399
975	0.97372
976	0.97472
977	0.975134
978	0.975387
979	0.975901
980	0.976504
981	0.977347
982	0.978269
983	0.97848
984	0.978689
985	0.978994
986	0.979045
987	0.979661
988	0.979799
989	0.97972
990	0.979282
991	0.97876
992	0.978818
993	0.978418
994	0.977656
995	0.976872
996	0.975926
997	0.974707
998	0.973898
999	0.97319
1000	0.971613
1001	0.970037
1002	0.968863
1003	0.96794
1004	0.967496
1005	0.966451
1006	0.965874
1007	0.965682
1008	0.964348
1009	0.96294
1010	0.961909
1011	0.961443
1012	0.960737
1013	0.960008
1014	0.959028
1015	0.9582
1016	0.95843
1017	0.957898
1018	0.95796
1019	0.959229
1020	0.959801
1021	0.959261
1022	0.959266
1023	0.959189
1024	0.959425
1025	0.960365
1026	0.961273
1027	0.961486
1028	0.961297
1029	0.962024
1030	0.961926
1031	0.96172
1032	0.963419
1033	0.965047
1034	0.965189
1035	0.966137
1036	0.967028
1037	0.967045
1038	0.966532
1039	0.967931
1040	0.968327
1041	0.968825
1042	0.969664
1043	0.969162
1044	0.969226
1045	0.971051
1046	0.972374
1047	0.97232
1048	0.972336
1049	0.972099
1050	0.972215
1051	0.972043
1052	0.972454
1053	0.972752
1054	0.973235
1055	0.974198
1056	0.974239
1057	0.974176
1058	0.974207
1059	0.974991
1060	0.975406
1061	0.97537
1062	0.97498
1063	0.974736
1064	0.975338
1065	0.976099
1066	0.976519
1067	0.976858
1068	0.97695
1069	0.977347
1070	0.977389
1071	0.977628
1072	0.978705
1073	0.979604
1074	0.979876
1075	0.98011
1076	0.98083
1077	0.981649
1078	0.982402
1079	0.982744
1080	0.982074
1081	0.981892
1082	0.982366
1083	0.982305
1084	0.981878
1085	0.981731
1086	0.982192
1087	0.982656
1088	0.981729
1089	0.981245
1090	0.981635
1091	0.981656
1092	0.981556
1093	0.981218
1094	0.980636
1095	0.979302
1096	0.977882
1097	0.977518
1098	0.977781
1099	0.977455
1100	0.976213
1101	0.975996
1102	0.976054
1103	0.975561
1104	0.974733
1105	0.973663
1106	0.972823
1107	0.971954
1108	0.970932
1109	0.969826
1110	0.968951
1111	0.968421
1112	0.968005
1113	0.967226
1114	0.966384
1115	0.966003
1116	0.966635
1117	0.966775
1118	0.965009
1119	0.964546
1120	0.963983
1121	0.962273
1122	0.961641
1123	0.963072
1124	0.962681
1125	0.962414
1126	0.962778
1127	0.962997
1128	0.964122
1129	0.964333
1130	0.964979
1131	0.965817
1132	0.965985
1133	0.967383
1134	0.966765
1135	0.966729
1136	0.966931
1137	0.965582
1138	0.966529
1139	0.968043
1140	0.968476
1141	0.96843
1142	0.96879
1143	0.968042
1144	0.968052
1145	0.968198
1146	0.967503
1147	0.96754
1148	0.967521
1149	0.968227
1150	0.968884
1151	0.968927
1152	0.968283
1153	0.968502
1154	0.968427
1155	0.967047
1156	0.96636
1157	0.967001
1158	0.967546
1159	0.968467
1160	0.969061
1161	0.964147
1162	0.962339
1163	0.962162
1164	0.96207
1165	0.961347
1166	0.95947
1167	0.956182
1168	0.956144
1169	0.955562
1170	0.954815
1171	0.955595
1172	0.951375
1173	0.948312
1174	0.949411
1175	0.952262
1176	0.952144
1177	0.952074
1178	0.94989
1179	0.947454
1180	0.94475
1181	0.940177
1182	0.939005
1183	0.942276
1184	0.938682
1185	0.935128
1186	0.932068
1187	0.927598
1188	0.931048
1189	0.932896
1190	0.91878
1191	0.926239
1192	0.931319
1193	0.919572
1194	0.936896
1195	0.930673
1196	0.915389
1197	0.920683
1198	0.922095
1199	0.919295
1200	0.895558
