Typical Measured Spectrum of Semrock Di02-R594 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
345.0	8.1186e-04
345.2	7.7327e-04
345.4	6.7441e-04
345.6	6.0652e-04
345.8	5.2545e-04
346.0	8.1724e-04
346.2	5.5557e-04
346.4	5.0854e-04
346.6	6.0677e-04
346.8	5.2433e-04
347.0	4.0379e-04
347.2	8.0477e-04
347.4	6.6298e-04
347.6	4.9009e-04
347.8	4.5159e-04
348.0	5.9052e-04
348.2	6.4052e-04
348.4	7.3591e-04
348.6	6.3428e-04
348.8	6.6764e-04
349.0	6.3818e-04
349.2	5.532e-04
349.4	5.4549e-04
349.6	4.8668e-04
349.8	5.3323e-04
350.0	5.2872e-04
350.2	4.4424e-04
350.4	5.071e-04
350.6	3.6671e-04
350.8	5.1696e-04
351.0	4.5637e-04
351.2	5.4895e-04
351.4	5.0055e-04
351.6	5.9614e-04
351.8	3.5177e-04
352.0	5.8388e-04
352.2	4.5163e-04
352.4	7.0798e-04
352.6	7.5245e-04
352.8	6.9922e-04
353.0	5.8803e-04
353.2	6.9328e-04
353.4	7.9464e-04
353.6	8.3697e-04
353.8	8.5232e-04
354.0	9.6998e-04
354.2	9.8439e-04
354.4	8.0359e-04
354.6	0.001
354.8	0.00126
355.0	0.00116
355.2	0.00106
355.4	0.00116
355.6	0.00122
355.8	0.00104
356.0	0.00129
356.2	0.00171
356.4	0.00173
356.6	0.00179
356.8	0.00173
357.0	0.00182
357.2	0.00199
357.4	0.00221
357.6	0.00272
357.8	0.00362
358.0	0.0039
358.2	0.00432
358.4	0.00423
358.6	0.00363
358.8	0.00366
359.0	0.00377
359.2	0.00479
359.4	0.0054
359.6	0.00625
359.8	0.00664
360.0	0.00571
360.2	0.00477
360.4	0.004
360.6	0.0043
360.8	0.00567
361.0	0.00762
361.2	0.00935
361.4	0.00992
361.6	0.00965
361.8	0.00895
362.0	0.00738
362.2	0.00752
362.4	0.00776
362.6	0.00832
362.8	0.00819
363.0	0.00793
363.2	0.0069
363.4	0.00563
363.6	0.00486
363.8	0.00424
364.0	0.00386
364.2	0.00358
364.4	0.00275
364.6	0.00214
364.8	0.00169
365.0	0.0012
365.2	0.00135
365.4	0.00134
365.6	0.00139
365.8	0.00142
366.0	7.5009e-04
366.2	4.9871e-04
366.4	3.7127e-04
366.6	3.6708e-04
366.8	3.6089e-04
367.0	3.5476e-04
367.2	4.1519e-04
367.4	4.02e-04
367.6	3.4907e-04
367.8	3.4954e-04
368.0	3.4824e-04
368.2	3.4532e-04
368.4	3.7269e-04
368.6	3.3293e-04
368.8	3.6311e-04
369.0	3.2533e-04
369.2	4.0352e-04
369.4	3.2695e-04
369.6	3.1888e-04
369.8	3.1672e-04
370.0	3.1436e-04
370.2	3.3656e-04
370.4	3.1359e-04
370.6	3.1496e-04
370.8	3.5042e-04
371.0	3.1235e-04
371.2	3.3227e-04
371.4	3.0339e-04
371.6	3.4179e-04
371.8	2.9641e-04
372.0	2.9482e-04
372.2	2.9369e-04
372.4	2.9447e-04
372.6	3.1643e-04
372.8	3.2495e-04
373.0	2.9998e-04
373.2	2.7931e-04
373.4	2.7425e-04
373.6	3.2295e-04
373.8	3.6846e-04
374.0	3.2729e-04
374.2	2.9785e-04
374.4	2.7888e-04
374.6	2.8854e-04
374.8	3.1916e-04
375.0	2.5473e-04
375.2	2.8305e-04
375.4	4.5499e-04
375.6	3.3943e-04
375.8	2.6375e-04
376.0	2.6132e-04
376.2	2.5448e-04
376.4	2.4057e-04
376.6	2.7512e-04
376.8	2.5781e-04
377.0	2.4143e-04
377.2	3.0537e-04
377.4	4.7146e-04
377.6	5.5507e-04
377.8	4.7963e-04
378.0	3.1269e-04
378.2	2.6142e-04
378.4	2.4157e-04
378.6	2.6676e-04
378.8	2.1896e-04
379.0	2.1839e-04
379.2	2.6568e-04
379.4	2.354e-04
379.6	3.1515e-04
379.8	3.6604e-04
380.0	2.8759e-04
380.2	2.7481e-04
380.4	2.5688e-04
380.6	2.0517e-04
380.8	2.473e-04
381.0	1.9716e-04
381.2	1.9464e-04
381.4	2.1463e-04
381.6	1.9562e-04
381.8	2.5162e-04
382.0	2.9086e-04
382.2	3.051e-04
382.4	2.6087e-04
382.6	1.9389e-04
382.8	2.0399e-04
383.0	1.7911e-04
383.2	2.5398e-04
383.4	1.7477e-04
383.6	1.9494e-04
383.8	1.8079e-04
384.0	1.8263e-04
384.2	2.0067e-04
384.4	1.9595e-04
384.6	2.709e-04
384.8	3.6075e-04
385.0	2.8812e-04
385.2	3.1358e-04
385.4	1.9341e-04
385.6	1.7609e-04
385.8	2.0406e-04
386.0	2.5603e-04
386.2	2.4223e-04
386.4	2.5115e-04
386.6	2.1435e-04
386.8	2.9229e-04
387.0	2.7359e-04
387.2	2.791e-04
387.4	4.2448e-04
387.6	5.0766e-04
387.8	5.3679e-04
388.0	5.034e-04
388.2	4.8033e-04
388.4	4.8901e-04
388.6	3.9092e-04
388.8	3.3526e-04
389.0	3.7513e-04
389.2	4.6964e-04
389.4	6.6036e-04
389.6	0.00101
389.8	0.0012
390.0	0.00141
390.2	0.00137
390.4	0.00131
390.6	0.00121
390.8	0.00124
391.0	0.00121
391.2	0.00142
391.4	0.00215
391.6	0.00361
391.8	0.00545
392.0	0.00736
392.2	0.00884
392.4	0.00806
392.6	0.00758
392.8	0.00632
393.0	0.00442
393.2	0.00353
393.4	0.00369
393.6	0.00414
393.8	0.00546
394.0	0.00694
394.2	0.00796
394.4	0.00747
394.6	0.00709
394.8	0.00546
395.0	0.00348
395.2	0.00227
395.4	0.00184
395.6	0.00131
395.8	0.00137
396.0	0.00161
396.2	0.0018
396.4	0.00233
396.6	0.00278
396.8	0.00343
397.0	0.0038
397.2	0.00347
397.4	0.00345
397.6	0.00292
397.8	0.00238
398.0	0.00202
398.2	0.00218
398.4	0.00224
398.6	0.0022
398.8	0.00264
399.0	0.00273
399.2	0.00299
399.4	0.00292
399.6	0.00259
399.8	0.00235
400.0	0.00196
400.2	0.00178
400.4	0.00149
400.6	0.00156
400.8	0.00168
401.0	0.00229
401.2	0.003
401.4	0.0048
401.6	0.00666
401.8	0.00742
402.0	0.00763
402.2	0.00682
402.4	0.00559
402.6	0.00374
402.8	0.00251
403.0	0.00181
403.2	0.0012
403.4	0.00123
403.6	0.00129
403.8	0.0013
404.0	0.00195
404.2	0.00292
404.4	0.00395
404.6	0.00536
404.8	0.00639
405.0	0.00647
405.2	0.00585
405.4	0.00437
405.6	0.00318
405.8	0.00202
406.0	0.0018
406.2	0.00134
406.4	0.00112
406.6	0.0012
406.8	0.00161
407.0	0.00164
407.2	0.00226
407.4	0.00301
407.6	0.00353
407.8	0.00417
408.0	0.00452
408.2	0.00422
408.4	0.00389
408.6	0.00312
408.8	0.00268
409.0	0.00219
409.2	0.00209
409.4	0.00189
409.6	0.00222
409.8	0.0023
410.0	0.00281
410.2	0.00358
410.4	0.00469
410.6	0.00635
410.8	0.00782
411.0	0.00914
411.2	0.00965
411.4	0.00958
411.6	0.00892
411.8	0.00771
412.0	0.00683
412.2	0.00627
412.4	0.0061
412.6	0.00603
412.8	0.00667
413.0	0.00733
413.2	0.00873
413.4	0.01023
413.6	0.01281
413.8	0.01559
414.0	0.01915
414.2	0.02182
414.4	0.02301
414.6	0.02225
414.8	0.01997
415.0	0.01688
415.2	0.01326
415.4	0.01032
415.6	0.0083
415.8	0.00658
416.0	0.00542
416.2	0.00489
416.4	0.00456
416.6	0.00414
416.8	0.00442
417.0	0.00475
417.2	0.00525
417.4	0.00594
417.6	0.00677
417.8	0.00776
418.0	0.00812
418.2	0.00809
418.4	0.00742
418.6	0.00642
418.8	0.00519
419.0	0.00428
419.2	0.00361
419.4	0.00299
419.6	0.00285
419.8	0.00251
420.0	0.00268
420.2	0.00295
420.4	0.00327
420.6	0.00378
420.8	0.00458
421.0	0.00505
421.2	0.0054
421.4	0.00532
421.6	0.00502
421.8	0.00437
422.0	0.00374
422.2	0.00299
422.4	0.00239
422.6	0.0021
422.8	0.00195
423.0	0.00191
423.2	0.00192
423.4	0.0021
423.6	0.00245
423.8	0.00306
424.0	0.0041
424.2	0.00566
424.4	0.00744
424.6	0.00879
424.8	0.00944
425.0	0.00946
425.2	0.00865
425.4	0.00737
425.6	0.00579
425.8	0.00471
426.0	0.00399
426.2	0.00385
426.4	0.00386
426.6	0.00405
426.8	0.00439
427.0	0.005
427.2	0.00593
427.4	0.00738
427.6	0.00929
427.8	0.01114
428.0	0.01246
428.2	0.0127
428.4	0.01195
428.6	0.01065
428.8	0.00861
429.0	0.00684
429.2	0.00536
429.4	0.00453
429.6	0.00401
429.8	0.00387
430.0	0.00392
430.2	0.00429
430.4	0.00483
430.6	0.00583
430.8	0.00694
431.0	0.00804
431.2	0.00902
431.4	0.00929
431.6	0.00925
431.8	0.00847
432.0	0.00728
432.2	0.00621
432.4	0.00516
432.6	0.00449
432.8	0.00408
433.0	0.00382
433.2	0.00371
433.4	0.00384
433.6	0.00418
433.8	0.00476
434.0	0.00567
434.2	0.00692
434.4	0.00853
434.6	0.01016
434.8	0.01137
435.0	0.01229
435.2	0.01243
435.4	0.01175
435.6	0.01052
435.8	0.00925
436.0	0.008
436.2	0.00708
436.4	0.0064
436.6	0.00612
436.8	0.00599
437.0	0.00607
437.2	0.00645
437.4	0.00697
437.6	0.00785
437.8	0.00919
438.0	0.01089
438.2	0.01309
438.4	0.01608
438.6	0.01921
438.8	0.02211
439.0	0.0242
439.2	0.02492
439.4	0.02429
439.6	0.02186
439.8	0.01863
440.0	0.01539
440.2	0.01255
440.4	0.01003
440.6	0.00828
440.8	0.00694
441.0	0.00599
441.2	0.00556
441.4	0.00505
441.6	0.00491
441.8	0.00466
442.0	0.00507
442.2	0.0054
442.4	0.0058
442.6	0.00626
442.8	0.00722
443.0	0.00809
443.2	0.00896
443.4	0.0093
443.6	0.0095
443.8	0.00895
444.0	0.00818
444.2	0.00703
444.4	0.00588
444.6	0.00484
444.8	0.0041
445.0	0.00348
445.2	0.00311
445.4	0.00282
445.6	0.00257
445.8	0.00235
446.0	0.00239
446.2	0.00256
446.4	0.00272
446.6	0.00315
446.8	0.0038
447.0	0.00446
447.2	0.00524
447.4	0.00617
447.6	0.00693
447.8	0.00701
448.0	0.00693
448.2	0.00622
448.4	0.00546
448.6	0.00458
448.8	0.00382
449.0	0.0032
449.2	0.00285
449.4	0.00243
449.6	0.0022
449.8	0.00221
450.0	0.00214
450.2	0.00219
450.4	0.00241
450.6	0.00273
450.8	0.00332
451.0	0.00411
451.2	0.00548
451.4	0.00731
451.6	0.00986
451.8	0.01221
452.0	0.01414
452.2	0.01516
452.4	0.015
452.6	0.01415
452.8	0.01251
453.0	0.01047
453.2	0.00869
453.4	0.00737
453.6	0.00654
453.8	0.00614
454.0	0.00623
454.2	0.00661
454.4	0.00747
454.6	0.00899
454.8	0.01118
455.0	0.01372
455.2	0.01661
455.4	0.0191
455.6	0.02079
455.8	0.02128
456.0	0.02081
456.2	0.0191
456.4	0.01683
456.6	0.01423
456.8	0.01179
457.0	0.00994
457.2	0.00862
457.4	0.00791
457.6	0.00761
457.8	0.00747
458.0	0.00776
458.2	0.00813
458.4	0.00875
458.6	0.00917
458.8	0.0094
459.0	0.00941
459.2	0.00913
459.4	0.00863
459.6	0.00781
459.8	0.00687
460.0	0.00592
460.2	0.0052
460.4	0.00446
460.6	0.00397
460.8	0.0037
461.0	0.00342
461.2	0.00343
461.4	0.00341
461.6	0.00359
461.8	0.00385
462.0	0.00426
462.2	0.00486
462.4	0.00552
462.6	0.00635
462.8	0.00706
463.0	0.00772
463.2	0.00792
463.4	0.00767
463.6	0.00714
463.8	0.00639
464.0	0.00545
464.2	0.00459
464.4	0.00385
464.6	0.00326
464.8	0.00284
465.0	0.0025
465.2	0.00228
465.4	0.00218
465.6	0.0021
465.8	0.00209
466.0	0.00214
466.2	0.00222
466.4	0.00239
466.6	0.0027
466.8	0.00294
467.0	0.00353
467.2	0.00419
467.4	0.00512
467.6	0.00653
467.8	0.00819
468.0	0.00977
468.2	0.01129
468.4	0.01278
468.6	0.01376
468.8	0.014
469.0	0.0133
469.2	0.01216
469.4	0.01047
469.6	0.00889
469.8	0.00743
470.0	0.00645
470.2	0.00554
470.4	0.00492
470.6	0.0045
470.8	0.00424
471.0	0.00406
471.2	0.00387
471.4	0.00385
471.6	0.00392
471.8	0.00404
472.0	0.00417
472.2	0.00432
472.4	0.00475
472.6	0.00517
472.8	0.00579
473.0	0.00649
473.2	0.0074
473.4	0.0084
473.6	0.0096
473.8	0.0105
474.0	0.01137
474.2	0.01172
474.4	0.01172
474.6	0.01112
474.8	0.01016
475.0	0.00907
475.2	0.00782
475.4	0.00677
475.6	0.00581
475.8	0.00511
476.0	0.00445
476.2	0.004
476.4	0.00373
476.6	0.00343
476.8	0.00329
477.0	0.00315
477.2	0.00325
477.4	0.00331
477.6	0.00342
477.8	0.00356
478.0	0.00371
478.2	0.00407
478.4	0.00446
478.6	0.00488
478.8	0.00531
479.0	0.00576
479.2	0.00595
479.4	0.00604
479.6	0.00601
479.8	0.00578
480.0	0.00546
480.2	0.00498
480.4	0.00456
480.6	0.00416
480.8	0.00368
481.0	0.00338
481.2	0.00311
481.4	0.00295
481.6	0.00283
481.8	0.00267
482.0	0.00262
482.2	0.00261
482.4	0.00259
482.6	0.00279
482.8	0.00284
483.0	0.00314
483.2	0.00339
483.4	0.00374
483.6	0.00419
483.8	0.00474
484.0	0.00537
484.2	0.00626
484.4	0.0071
484.6	0.00797
484.8	0.00868
485.0	0.00936
485.2	0.00964
485.4	0.00974
485.6	0.00952
485.8	0.0092
486.0	0.00864
486.2	0.00806
486.4	0.00759
486.6	0.00707
486.8	0.00671
487.0	0.00638
487.2	0.00614
487.4	0.006
487.6	0.00605
487.8	0.00613
488.0	0.00635
488.2	0.00659
488.4	0.00699
488.6	0.00743
488.8	0.00801
489.0	0.00891
489.2	0.0098
489.4	0.01091
489.6	0.01222
489.8	0.01371
490.0	0.01518
490.2	0.01686
490.4	0.01843
490.6	0.01973
490.8	0.02094
491.0	0.02146
491.2	0.02158
491.4	0.02125
491.6	0.02042
491.8	0.01944
492.0	0.01834
492.2	0.01695
492.4	0.01557
492.6	0.01458
492.8	0.01345
493.0	0.01251
493.2	0.01177
493.4	0.0112
493.6	0.01075
493.8	0.01041
494.0	0.01027
494.2	0.01018
494.4	0.01024
494.6	0.0104
494.8	0.01067
495.0	0.01114
495.2	0.01168
495.4	0.01231
495.6	0.01301
495.8	0.0138
496.0	0.01466
496.2	0.01534
496.4	0.01597
496.6	0.01651
496.8	0.01655
497.0	0.01651
497.2	0.01607
497.4	0.01534
497.6	0.01452
497.8	0.01352
498.0	0.01252
498.2	0.01166
