Typical Measured Spectrum of Semrock FF01-679/41 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
290.0	4.7422e-07
290.2	4.6749e-07
290.4	4.6086e-07
290.6	4.5432e-07
290.8	4.4787e-07
291.0	4.4151e-07
291.2	4.3525e-07
291.4	4.2907e-07
291.6	4.2298e-07
291.8	4.1698e-07
292.0	4.1106e-07
292.2	4.0523e-07
292.4	3.9948e-07
292.6	3.9381e-07
292.8	3.8822e-07
293.0	3.8133e-07
293.2	3.673e-07
293.4	3.5379e-07
293.6	3.4077e-07
293.8	3.2823e-07
294.0	3.1615e-07
294.2	3.0452e-07
294.4	2.9331e-07
294.6	2.8252e-07
294.8	2.7212e-07
295.0	2.6211e-07
295.2	2.7224e-07
295.4	2.8277e-07
295.6	2.937e-07
295.8	3.0505e-07
296.0	3.1685e-07
296.2	3.291e-07
296.4	3.4182e-07
296.6	3.5503e-07
296.8	3.6876e-07
297.0	3.8301e-07
297.2	3.9782e-07
297.4	4.132e-07
297.6	4.2918e-07
297.8	4.4577e-07
298.0	4.6339e-07
298.2	4.8585e-07
298.4	5.094e-07
298.6	5.3409e-07
298.8	5.5997e-07
299.0	5.8711e-07
299.2	6.1556e-07
299.4	6.454e-07
299.6	6.7668e-07
299.8	7.0947e-07
300.0	7.4386e-07
300.2	7.7991e-07
300.4	8.1771e-07
300.6	8.5734e-07
300.8	8.9889e-07
301.0	9.4245e-07
301.2	9.8813e-07
301.4	1.036e-06
301.6	1.0862e-06
301.8	1.1058e-06
302.0	1.0836e-06
302.2	1.0618e-06
302.4	1.0404e-06
302.6	1.0194e-06
302.8	9.989e-07
303.0	9.7878e-07
303.2	9.5908e-07
303.4	9.3976e-07
303.6	9.2084e-07
303.8	9.023e-07
304.0	8.8413e-07
304.2	8.6633e-07
304.4	8.4888e-07
304.6	8.3179e-07
304.8	8.1504e-07
305.0	7.9863e-07
305.2	5.4885e-07
305.4	3.7719e-07
305.6	2.8657e-07
305.8	3.2121e-07
306.0	3.6004e-07
306.2	4.0357e-07
306.4	4.5236e-07
306.6	5.0705e-07
306.8	5.6835e-07
307.0	6.3707e-07
307.2	7.1408e-07
307.4	8.0041e-07
307.6	8.9718e-07
307.8	1.0056e-06
308.0	1.1272e-06
308.2	1.2635e-06
308.4	1.4163e-06
308.6	1.5875e-06
308.8	1.7794e-06
309.0	1.9945e-06
309.2	2.2357e-06
309.4	2.4263e-06
309.6	2.5617e-06
309.8	2.7047e-06
310.0	2.8557e-06
310.2	3.015e-06
310.4	3.1833e-06
310.6	3.361e-06
310.8	3.5486e-06
311.0	3.7467e-06
311.2	3.9558e-06
311.4	4.1766e-06
311.6	4.4097e-06
311.8	4.6558e-06
312.0	4.9157e-06
312.2	5.1901e-06
312.4	5.4798e-06
312.6	5.7856e-06
312.8	6.1085e-06
313.0	6.4495e-06
313.2	5.5329e-06
313.4	4.6141e-06
313.6	3.8479e-06
313.8	3.2089e-06
314.0	2.676e-06
314.2	2.2316e-06
314.4	1.8611e-06
314.6	1.552e-06
314.8	1.2943e-06
315.0	1.0793e-06
315.2	9.0011e-07
315.4	7.5064e-07
315.6	6.2599e-07
315.8	5.2203e-07
316.0	4.3534e-07
316.2	3.6305e-07
316.4	3.0276e-07
316.6	2.5249e-07
316.8	2.1936e-07
317.0	2.1861e-07
317.2	2.1785e-07
317.4	2.171e-07
317.6	2.1635e-07
317.8	2.156e-07
318.0	2.1486e-07
318.2	2.1411e-07
318.4	2.1337e-07
318.6	2.1264e-07
318.8	2.119e-07
319.0	2.1117e-07
319.2	2.1044e-07
319.4	2.0971e-07
319.6	2.0899e-07
319.8	2.0827e-07
320.0	2.0755e-07
320.2	2.0683e-07
320.4	2.0612e-07
320.6	2.0544e-07
320.8	2.048e-07
321.0	2.0416e-07
321.2	2.0352e-07
321.4	2.0288e-07
321.6	2.0224e-07
321.8	2.0161e-07
322.0	2.0098e-07
322.2	2.0035e-07
322.4	1.9972e-07
322.6	1.9909e-07
322.8	1.9847e-07
323.0	1.9785e-07
323.2	1.9723e-07
323.4	1.9661e-07
323.6	1.9599e-07
323.8	1.9538e-07
324.0	1.9477e-07
324.2	1.9416e-07
324.4	2.188e-07
324.6	2.4818e-07
324.8	2.8149e-07
325.0	3.1928e-07
325.2	3.6215e-07
325.4	4.1076e-07
325.6	4.659e-07
325.8	5.2845e-07
326.0	5.9939e-07
326.2	6.7986e-07
326.4	7.7112e-07
326.6	8.7464e-07
326.8	9.9206e-07
327.0	1.1252e-06
327.2	1.2763e-06
327.4	1.4476e-06
327.6	1.642e-06
327.8	1.8624e-06
328.0	2.013e-06
328.2	1.9639e-06
328.4	1.9159e-06
328.6	1.8692e-06
328.8	1.8236e-06
329.0	1.7791e-06
329.2	1.7357e-06
329.4	1.6933e-06
329.6	1.652e-06
329.8	1.6117e-06
330.0	1.5723e-06
330.2	1.534e-06
330.4	1.4965e-06
330.6	1.46e-06
330.8	1.4244e-06
331.0	1.3896e-06
331.2	1.3557e-06
331.4	1.3226e-06
331.6	1.2904e-06
331.8	1.2683e-06
332.0	1.2506e-06
332.2	1.2331e-06
332.4	1.2159e-06
332.6	1.1989e-06
332.8	1.1822e-06
333.0	1.1657e-06
333.2	1.1494e-06
333.4	1.1333e-06
333.6	1.1175e-06
333.8	1.1019e-06
334.0	1.0865e-06
334.2	1.0713e-06
334.4	1.0564e-06
334.6	1.0416e-06
334.8	1.0271e-06
335.0	1.0127e-06
335.2	8.0615e-07
335.4	6.4171e-07
335.6	5.4229e-07
335.8	5.3053e-07
336.0	5.1903e-07
336.2	5.0778e-07
336.4	4.9677e-07
336.6	4.86e-07
336.8	4.7546e-07
337.0	4.6515e-07
337.2	4.5507e-07
337.4	4.452e-07
337.6	4.3555e-07
337.8	4.2611e-07
338.0	4.1687e-07
338.2	4.0783e-07
338.4	3.9899e-07
338.6	3.9034e-07
338.8	3.8188e-07
339.0	3.736e-07
339.2	3.655e-07
339.4	3.4381e-07
339.6	3.1679e-07
339.8	2.919e-07
340.0	2.6896e-07
340.2	2.4782e-07
340.4	2.2834e-07
340.6	2.104e-07
340.8	1.9387e-07
341.0	1.7863e-07
341.2	1.6459e-07
341.4	1.5166e-07
341.6	1.3974e-07
341.8	1.2876e-07
342.0	1.1864e-07
342.2	1.0931e-07
342.4	1.0072e-07
342.6	9.2809e-08
342.8	8.5515e-08
343.0	7.898e-08
343.2	7.8715e-08
343.4	7.845e-08
343.6	7.8186e-08
343.8	7.7923e-08
344.0	7.766e-08
344.2	7.7399e-08
344.4	7.7138e-08
344.6	7.6879e-08
344.8	7.662e-08
345.0	7.6362e-08
345.2	7.6105e-08
345.4	7.5849e-08
345.6	7.5594e-08
345.8	7.5339e-08
346.0	7.5086e-08
346.2	7.4833e-08
346.4	7.4581e-08
346.6	7.433e-08
346.8	7.6067e-08
347.0	8.0804e-08
347.2	8.5836e-08
347.4	9.1182e-08
347.6	9.686e-08
347.8	1.0289e-07
348.0	1.093e-07
348.2	1.1611e-07
348.4	1.2334e-07
348.6	1.3102e-07
348.8	1.3918e-07
349.0	1.4784e-07
349.2	1.5705e-07
349.4	1.6683e-07
349.6	1.7722e-07
349.8	1.8826e-07
350.0	1.9998e-07
350.2	2.1243e-07
350.4	2.2566e-07
350.6	2.4063e-07
350.8	2.5683e-07
351.0	2.7413e-07
351.2	2.9259e-07
351.4	3.1229e-07
351.6	3.3332e-07
351.8	3.5577e-07
352.0	3.7973e-07
352.2	4.053e-07
352.4	4.3259e-07
352.6	4.6173e-07
352.8	4.9282e-07
353.0	5.2601e-07
353.2	5.6143e-07
353.4	5.9924e-07
353.6	6.3959e-07
353.8	6.8266e-07
354.0	7.2863e-07
354.2	7.6686e-07
354.4	7.6306e-07
354.6	7.5927e-07
354.8	7.555e-07
355.0	7.5174e-07
355.2	7.4801e-07
355.4	7.443e-07
355.6	7.406e-07
355.8	7.3692e-07
356.0	7.3326e-07
356.2	7.2962e-07
356.4	7.26e-07
356.6	7.2239e-07
356.8	7.188e-07
357.0	7.1523e-07
357.2	7.1168e-07
357.4	7.0815e-07
357.6	7.0463e-07
357.8	7.0113e-07
358.0	7.2133e-07
358.2	7.5845e-07
358.4	7.9749e-07
358.6	8.3854e-07
358.8	8.817e-07
359.0	9.2708e-07
359.2	9.748e-07
359.4	1.025e-06
359.6	1.0777e-06
359.8	1.1332e-06
360.0	1.1915e-06
360.2	1.2528e-06
360.4	1.3173e-06
360.6	1.3851e-06
360.8	1.4564e-06
361.0	1.5314e-06
361.2	1.6102e-06
361.4	1.6931e-06
361.6	1.7784e-06
361.8	1.7752e-06
362.0	1.7721e-06
362.2	1.7689e-06
362.4	1.7658e-06
362.6	1.7626e-06
362.8	1.7595e-06
363.0	1.7564e-06
363.2	1.7532e-06
363.4	1.7501e-06
363.6	1.747e-06
363.8	1.7439e-06
364.0	1.7408e-06
364.2	1.7377e-06
364.4	1.7346e-06
364.6	1.7315e-06
364.8	1.7285e-06
365.0	1.7254e-06
365.2	1.25e-06
365.4	9.0556e-07
365.6	6.5604e-07
365.8	4.7527e-07
366.0	3.4431e-07
366.2	2.4944e-07
366.4	1.8071e-07
366.6	1.3092e-07
366.8	9.4843e-08
367.0	8.2778e-08
367.2	1.0211e-07
367.4	1.2596e-07
367.6	1.5537e-07
367.8	1.9165e-07
368.0	2.3641e-07
368.2	2.9162e-07
368.4	3.5973e-07
368.6	4.4373e-07
368.8	5.4736e-07
369.0	6.7519e-07
369.2	8.3287e-07
369.4	1.0274e-06
369.6	1.2673e-06
369.8	1.5632e-06
370.0	1.9283e-06
370.2	2.3786e-06
370.4	2.9341e-06
370.6	3.6193e-06
370.8	4.1704e-06
371.0	4.6887e-06
371.2	5.2715e-06
371.4	5.9266e-06
371.6	6.6632e-06
371.8	7.4914e-06
372.0	8.4225e-06
372.2	9.4693e-06
372.4	1.0646e-05
372.6	1.1969e-05
372.8	1.3457e-05
373.0	1.5129e-05
373.2	1.701e-05
373.4	1.9124e-05
373.6	2.1501e-05
373.8	2.4173e-05
374.0	2.7177e-05
374.2	3.0555e-05
374.4	3.3951e-05
374.6	3.4743e-05
374.8	3.5553e-05
375.0	3.6382e-05
375.2	3.723e-05
375.4	3.8098e-05
375.6	3.8987e-05
375.8	3.9896e-05
376.0	4.0826e-05
376.2	4.1779e-05
376.4	4.2753e-05
376.6	4.375e-05
376.8	4.477e-05
377.0	4.5814e-05
377.2	4.6882e-05
377.4	4.7976e-05
377.6	4.9094e-05
377.8	5.0239e-05
378.0	5.1411e-05
378.2	5.0885e-05
378.4	4.8867e-05
378.6	4.6929e-05
378.8	4.5069e-05
379.0	4.3282e-05
379.2	4.1565e-05
379.4	3.9917e-05
379.6	3.8335e-05
379.8	3.6815e-05
380.0	3.5355e-05
380.2	3.3953e-05
380.4	3.2607e-05
380.6	3.1314e-05
380.8	3.0072e-05
381.0	2.888e-05
381.2	2.7735e-05
381.4	2.6635e-05
381.6	2.5579e-05
381.8	2.4565e-05
382.0	2.4584e-05
382.2	2.468e-05
382.4	2.4776e-05
382.6	2.4872e-05
382.8	2.4969e-05
383.0	2.5066e-05
383.2	2.5164e-05
383.4	2.5262e-05
383.6	2.536e-05
383.8	2.5459e-05
384.0	2.5558e-05
384.2	2.5657e-05
384.4	2.5757e-05
384.6	2.5857e-05
384.8	2.5958e-05
385.0	2.6059e-05
385.2	2.616e-05
385.4	2.6262e-05
385.6	2.6582e-05
385.8	2.733e-05
386.0	2.8099e-05
386.2	2.8889e-05
386.4	2.9701e-05
386.6	3.0537e-05
386.8	3.1396e-05
387.0	3.2279e-05
387.2	3.3186e-05
387.4	3.412e-05
387.6	3.5079e-05
387.8	3.6066e-05
388.0	3.708e-05
388.2	3.8123e-05
388.4	3.9195e-05
388.6	4.0298e-05
388.8	4.1431e-05
389.0	4.2596e-05
389.2	4.3795e-05
389.4	4.2082e-05
389.6	3.9604e-05
389.8	3.7273e-05
390.0	3.5078e-05
390.2	3.3013e-05
390.4	3.107e-05
390.6	2.9241e-05
390.8	2.7519e-05
391.0	2.5899e-05
391.2	2.4374e-05
391.4	2.2939e-05
391.6	2.1589e-05
391.8	2.0318e-05
392.0	1.9122e-05
392.2	1.8928e-05
392.4	1.8737e-05
392.6	1.8548e-05
392.8	1.836e-05
393.0	1.7625e-05
393.2	1.6733e-05
393.4	1.5887e-05
393.6	1.5083e-05
393.8	1.4319e-05
394.0	1.3595e-05
394.2	1.2907e-05
394.4	1.2254e-05
394.6	1.1634e-05
394.8	1.1045e-05
395.0	1.0486e-05
395.2	9.9553e-06
395.4	9.4515e-06
395.6	8.9732e-06
395.8	8.5191e-06
396.0	8.088e-06
396.2	7.6787e-06
396.4	7.2902e-06
396.6	6.9981e-06
396.8	7.1189e-06
397.0	7.2418e-06
397.2	7.3667e-06
397.4	7.4939e-06
397.6	7.6232e-06
397.8	7.7547e-06
398.0	7.8886e-06
398.2	8.0247e-06
398.4	8.1632e-06
398.6	8.3041e-06
398.8	8.4474e-06
399.0	8.5932e-06
399.2	8.7415e-06
399.4	8.8923e-06
399.6	9.0458e-06
399.8	9.2019e-06
400.0	9.3607e-06
400.2	9.5222e-06
400.4	9.8083e-06
400.6	1.0188e-05
400.8	1.0581e-05
401.0	1.099e-05
401.2	1.1415e-05
401.4	1.1857e-05
401.6	1.2315e-05
401.8	1.2791e-05
402.0	1.3286e-05
402.2	1.3799e-05
402.4	1.4333e-05
402.6	1.4887e-05
402.8	1.5462e-05
403.0	1.606e-05
403.2	1.6681e-05
403.4	1.7326e-05
403.6	1.7996e-05
403.8	1.8691e-05
404.0	1.9312e-05
404.2	1.7854e-05
404.4	1.6506e-05
404.6	1.526e-05
404.8	1.4107e-05
405.0	1.3042e-05
405.2	1.2057e-05
405.4	1.1147e-05
405.6	1.0305e-05
405.8	9.5271e-06
406.0	8.8077e-06
406.2	8.1427e-06
406.4	7.5278e-06
406.6	6.9594e-06
406.8	6.4339e-06
407.0	5.9481e-06
407.2	5.499e-06
407.4	5.0838e-06
407.6	4.6999e-06
407.8	4.0747e-06
408.0	3.3172e-06
408.2	2.7005e-06
408.4	2.1985e-06
408.6	1.7898e-06
408.8	1.457e-06
409.0	1.1862e-06
409.2	9.6565e-07
409.4	7.8613e-07
409.6	6.3998e-07
409.8	5.21e-07
410.0	4.2415e-07
410.2	3.4529e-07
410.4	2.811e-07
410.6	2.2884e-07
410.8	1.863e-07
411.0	1.5166e-07
411.2	1.2347e-07
411.4	1.0052e-07
411.6	1.0e-07
411.8	1.0e-07
412.0	1.0e-07
412.2	1.0e-07
412.4	1.0e-07
412.6	1.0e-07
412.8	1.0e-07
413.0	1.0e-07
413.2	1.0e-07
413.4	1.0e-07
413.6	1.0e-07
413.8	1.0e-07
414.0	1.0e-07
414.2	1.0e-07
