Typical Measured Spectrum of Semrock FF01-708/75 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
265.0	4.8892e-07
265.2	4.8385e-07
265.4	4.7883e-07
265.6	4.7387e-07
265.8	4.6895e-07
266.0	4.6409e-07
266.2	4.5928e-07
266.4	4.5452e-07
266.6	4.4981e-07
266.8	4.4515e-07
267.0	4.4053e-07
267.2	4.8323e-07
267.4	5.3515e-07
267.6	5.9265e-07
267.8	6.5634e-07
268.0	7.2686e-07
268.2	8.0496e-07
268.4	8.9146e-07
268.6	9.8725e-07
268.8	1.0933e-06
269.0	1.2108e-06
269.2	1.3409e-06
269.4	1.485e-06
269.6	1.6446e-06
269.8	1.8213e-06
270.0	2.017e-06
270.2	2.2337e-06
270.4	2.4737e-06
270.6	2.7396e-06
270.8	2.8758e-06
271.0	2.548e-06
271.2	2.2575e-06
271.4	2.0002e-06
271.6	1.7722e-06
271.8	1.5702e-06
272.0	1.3912e-06
272.2	1.2326e-06
272.4	1.0921e-06
272.6	9.6765e-07
272.8	8.5736e-07
273.0	7.5963e-07
273.2	6.7304e-07
273.4	5.9633e-07
273.6	5.2835e-07
273.8	4.6813e-07
274.0	4.1477e-07
274.2	3.6749e-07
274.4	3.256e-07
274.6	6.5087e-07
274.8	2.374e-06
275.0	8.6589e-06
275.2	8.8196e-06
275.4	8.9832e-06
275.6	8.9898e-06
275.8	8.8538e-06
276.0	8.7198e-06
276.2	8.5879e-06
276.4	8.458e-06
276.6	8.33e-06
276.8	8.204e-06
277.0	8.0799e-06
277.2	7.9577e-06
277.4	7.8373e-06
277.6	7.7187e-06
277.8	7.6019e-06
278.0	7.4869e-06
278.2	7.3737e-06
278.4	7.2621e-06
278.6	7.1522e-06
278.8	7.044e-06
279.0	6.9375e-06
279.2	6.8325e-06
279.4	6.9928e-06
279.6	7.2017e-06
279.8	7.4169e-06
280.0	7.6386e-06
280.2	7.8668e-06
280.4	8.1019e-06
280.6	8.344e-06
280.8	8.5933e-06
281.0	8.85e-06
281.2	9.1145e-06
281.4	9.3868e-06
281.6	9.6673e-06
281.8	9.9562e-06
282.0	1.0254e-05
282.2	1.056e-05
282.4	1.0876e-05
282.6	1.1201e-05
282.8	1.1535e-05
283.0	1.0814e-05
283.2	7.0403e-06
283.4	4.5836e-06
283.6	2.9841e-06
283.8	1.9428e-06
284.0	1.2648e-06
284.2	8.2347e-07
284.4	5.3611e-07
284.6	3.4903e-07
284.8	2.2724e-07
285.0	1.4794e-07
285.2	1.4505e-07
285.4	1.4222e-07
285.6	1.5408e-07
285.8	1.7842e-07
286.0	2.066e-07
286.2	2.3924e-07
286.4	2.7703e-07
286.6	3.2079e-07
286.8	3.7147e-07
287.0	4.3015e-07
287.2	4.981e-07
287.4	5.7678e-07
287.6	6.679e-07
287.8	7.734e-07
288.0	8.9558e-07
288.2	1.0371e-06
288.4	1.2009e-06
288.6	1.3906e-06
288.8	1.6102e-06
289.0	1.8646e-06
289.2	2.1592e-06
289.4	1.8407e-06
289.6	1.5416e-06
289.8	1.291e-06
290.0	1.0812e-06
290.2	9.0545e-07
290.4	7.5829e-07
290.6	6.3504e-07
290.8	5.3183e-07
291.0	4.4539e-07
291.2	3.73e-07
291.4	3.1237e-07
291.6	2.616e-07
291.8	2.1908e-07
292.0	1.8347e-07
292.2	1.5365e-07
292.4	1.2868e-07
292.6	1.0777e-07
292.8	9.025e-08
293.0	7.8866e-08
293.2	7.6108e-08
293.4	7.3447e-08
293.6	7.0878e-08
293.8	6.84e-08
294.0	6.6008e-08
294.2	6.37e-08
294.4	6.1473e-08
294.6	5.9323e-08
294.8	5.7249e-08
295.0	5.5247e-08
295.2	5.7461e-08
295.4	5.9764e-08
295.6	6.2159e-08
295.8	6.4651e-08
296.0	6.7242e-08
296.2	6.9937e-08
296.4	7.274e-08
296.6	7.5655e-08
296.8	7.8688e-08
297.0	8.1841e-08
297.2	8.5122e-08
297.4	8.8533e-08
297.6	9.2082e-08
297.8	9.5772e-08
298.0	1.0057e-07
298.2	1.0949e-07
298.4	1.1921e-07
298.6	1.2978e-07
298.8	1.413e-07
299.0	1.5383e-07
299.2	1.6748e-07
299.4	1.8234e-07
299.6	1.9852e-07
299.8	2.1613e-07
300.0	2.3531e-07
300.2	2.5618e-07
300.4	2.7891e-07
300.6	3.0366e-07
300.8	3.306e-07
301.0	3.5993e-07
301.2	3.9186e-07
301.4	4.2662e-07
301.6	4.6447e-07
301.8	4.8722e-07
302.0	4.9721e-07
302.2	5.0742e-07
302.4	5.1783e-07
302.6	5.2846e-07
302.8	5.393e-07
303.0	5.5037e-07
303.2	5.6166e-07
303.4	5.7318e-07
303.6	5.8495e-07
303.8	5.9695e-07
304.0	6.092e-07
304.2	6.217e-07
304.4	6.3446e-07
304.6	6.4748e-07
304.8	6.6076e-07
305.0	6.7432e-07
305.2	2.7916e-07
305.4	1.1557e-07
305.6	6.0636e-08
305.8	6.0367e-08
306.0	6.0099e-08
306.2	5.9832e-08
306.4	5.9566e-08
306.6	5.9301e-08
306.8	5.9038e-08
307.0	5.8776e-08
307.2	5.8514e-08
307.4	5.8254e-08
307.6	5.7996e-08
307.8	5.7738e-08
308.0	5.7481e-08
308.2	5.7226e-08
308.4	5.6972e-08
308.6	5.6719e-08
308.8	5.6467e-08
309.0	5.6216e-08
309.2	5.5966e-08
309.4	6.1592e-08
309.6	7.2174e-08
309.8	8.4573e-08
310.0	9.9103e-08
310.2	1.1613e-07
310.4	1.3608e-07
310.6	1.5946e-07
310.8	1.8685e-07
311.0	2.1895e-07
311.2	2.5657e-07
311.4	3.0065e-07
311.6	3.523e-07
311.8	4.1283e-07
312.0	4.8375e-07
312.2	5.6686e-07
312.4	6.6424e-07
312.6	7.7836e-07
312.8	9.1208e-07
313.0	1.0688e-06
313.2	9.1236e-07
313.4	7.7123e-07
313.6	6.5194e-07
313.8	5.511e-07
314.0	4.6585e-07
314.2	3.9379e-07
314.4	3.3288e-07
314.6	2.8139e-07
314.8	2.3787e-07
315.0	2.0107e-07
315.2	1.6997e-07
315.4	1.4368e-07
315.6	1.2145e-07
315.8	1.0267e-07
316.0	8.6787e-08
316.2	7.3363e-08
316.4	6.2015e-08
316.6	5.2423e-08
316.8	4.6829e-08
317.0	4.6678e-08
317.2	4.6528e-08
317.4	4.6377e-08
317.6	4.6228e-08
317.8	4.6079e-08
318.0	4.593e-08
318.2	4.5782e-08
318.4	4.5634e-08
318.6	4.5487e-08
318.8	4.534e-08
319.0	4.5194e-08
319.2	4.5048e-08
319.4	4.4902e-08
319.6	4.4757e-08
319.8	4.4613e-08
320.0	4.4469e-08
320.2	4.4325e-08
320.4	4.4182e-08
320.6	4.4057e-08
320.8	4.3939e-08
321.0	4.3822e-08
321.2	4.3705e-08
321.4	4.3588e-08
321.6	4.3472e-08
321.8	4.3356e-08
322.0	4.324e-08
322.2	4.3124e-08
322.4	4.3009e-08
322.6	4.2894e-08
322.8	4.278e-08
323.0	4.2665e-08
323.2	4.2551e-08
323.4	4.2438e-08
323.6	4.2324e-08
323.8	4.2211e-08
324.0	4.2099e-08
324.2	4.1955e-08
324.4	4.1476e-08
324.6	4.1003e-08
324.8	4.0535e-08
325.0	4.0073e-08
325.2	3.9616e-08
325.4	3.9164e-08
325.6	3.8717e-08
325.8	3.8275e-08
326.0	3.7839e-08
326.2	3.7407e-08
326.4	3.698e-08
326.6	3.6558e-08
326.8	3.6141e-08
327.0	3.5729e-08
327.2	3.5321e-08
327.4	3.4918e-08
327.6	3.452e-08
327.8	3.4126e-08
328.0	3.3759e-08
328.2	3.3422e-08
328.4	3.3088e-08
328.6	3.2757e-08
328.8	3.2429e-08
329.0	3.2105e-08
329.2	3.1784e-08
329.4	3.1466e-08
329.6	3.1152e-08
329.8	3.084e-08
330.0	3.0532e-08
330.2	3.0227e-08
330.4	2.9924e-08
330.6	2.9625e-08
330.8	2.9329e-08
331.0	2.9036e-08
331.2	2.8745e-08
331.4	2.8458e-08
331.6	2.8173e-08
331.8	2.8892e-08
332.0	2.9792e-08
332.2	3.0721e-08
332.4	3.1678e-08
332.6	3.2665e-08
332.8	3.3683e-08
333.0	3.4733e-08
333.2	3.5815e-08
333.4	3.6931e-08
333.6	3.8082e-08
333.8	3.9269e-08
334.0	4.0493e-08
334.2	4.1754e-08
334.4	4.3056e-08
334.6	4.4397e-08
334.8	4.5781e-08
335.0	4.7207e-08
335.2	5.5725e-08
335.4	6.578e-08
335.6	7.2624e-08
335.8	6.7793e-08
336.0	6.3283e-08
336.2	5.9073e-08
336.4	5.5143e-08
336.6	5.1474e-08
336.8	4.805e-08
337.0	4.4853e-08
337.2	4.1869e-08
337.4	3.9084e-08
337.6	3.6484e-08
337.8	3.4056e-08
338.0	3.1791e-08
338.2	2.9676e-08
338.4	2.7702e-08
338.6	2.5859e-08
338.8	2.4138e-08
339.0	2.2532e-08
339.2	2.1033e-08
339.4	2.3071e-08
339.6	2.7447e-08
339.8	3.2653e-08
340.0	3.8847e-08
340.2	4.6216e-08
340.4	5.4983e-08
340.6	6.5413e-08
340.8	7.7821e-08
341.0	9.2583e-08
341.2	1.1014e-07
341.4	1.3104e-07
341.6	1.5589e-07
341.8	1.8547e-07
342.0	2.2065e-07
342.2	2.625e-07
342.4	3.123e-07
342.6	3.7154e-07
342.8	4.4201e-07
343.0	5.1561e-07
343.2	4.2884e-07
343.4	3.5667e-07
343.6	2.9664e-07
343.8	2.4672e-07
344.0	2.052e-07
344.2	1.7066e-07
344.4	1.4194e-07
344.6	1.1806e-07
344.8	9.8187e-08
345.0	8.1663e-08
345.2	6.792e-08
345.4	5.6489e-08
345.6	4.6983e-08
345.8	3.9076e-08
346.0	3.25e-08
346.2	2.703e-08
346.4	2.2481e-08
346.6	1.8698e-08
346.8	1.7781e-08
347.0	1.9919e-08
347.2	2.2314e-08
347.4	2.4996e-08
347.6	2.8002e-08
347.8	3.1368e-08
348.0	3.5139e-08
348.2	3.9364e-08
348.4	4.4096e-08
348.6	4.9398e-08
348.8	5.5337e-08
349.0	6.199e-08
349.2	6.9442e-08
349.4	7.7791e-08
349.6	8.7144e-08
349.8	9.762e-08
350.0	1.0936e-07
350.2	1.225e-07
350.4	1.3723e-07
350.6	1.2692e-07
350.8	1.1363e-07
351.0	1.0174e-07
351.2	9.1084e-08
351.4	8.1547e-08
351.6	7.3009e-08
351.8	6.5365e-08
352.0	5.8521e-08
352.2	5.2394e-08
352.4	4.6908e-08
352.6	4.1997e-08
352.8	3.76e-08
353.0	3.3663e-08
353.2	3.0138e-08
353.4	2.6983e-08
353.6	2.4158e-08
353.8	2.1628e-08
354.0	1.9364e-08
354.2	1.8374e-08
354.4	2.0403e-08
354.6	2.2655e-08
354.8	2.5156e-08
355.0	2.7933e-08
355.2	3.1016e-08
355.4	3.444e-08
355.6	3.8242e-08
355.8	4.2464e-08
356.0	4.7152e-08
356.2	5.2357e-08
356.4	5.8137e-08
356.6	6.4555e-08
356.8	7.1681e-08
357.0	7.9595e-08
357.2	8.8381e-08
357.4	9.8138e-08
357.6	1.0897e-07
357.8	1.21e-07
358.0	1.1697e-07
358.2	1.0624e-07
358.4	9.65e-08
358.6	8.7651e-08
358.8	7.9614e-08
359.0	7.2313e-08
359.2	6.5682e-08
359.4	5.9659e-08
359.6	5.4189e-08
359.8	4.922e-08
360.0	4.4706e-08
360.2	4.0607e-08
360.4	3.6883e-08
360.6	3.3501e-08
360.8	3.0429e-08
361.0	2.7639e-08
361.2	2.5104e-08
361.4	2.2802e-08
361.6	2.1156e-08
361.8	2.2938e-08
362.0	2.487e-08
362.2	2.6965e-08
362.4	2.9236e-08
362.6	3.1698e-08
362.8	3.4368e-08
363.0	3.7263e-08
363.2	4.0401e-08
363.4	4.3804e-08
363.6	4.7493e-08
363.8	5.1493e-08
364.0	5.583e-08
364.2	6.0532e-08
364.4	6.5631e-08
364.6	7.1159e-08
364.8	7.7152e-08
365.0	8.365e-08
365.2	8.2066e-08
365.4	8.0512e-08
365.6	7.8988e-08
365.8	7.7492e-08
366.0	7.6025e-08
366.2	7.4585e-08
366.4	7.3173e-08
366.6	7.1787e-08
366.8	7.0428e-08
367.0	6.7958e-08
367.2	6.2966e-08
367.4	5.834e-08
367.6	5.4055e-08
367.8	5.0084e-08
368.0	4.6404e-08
368.2	4.2996e-08
368.4	3.9837e-08
368.6	3.6911e-08
368.8	3.4199e-08
369.0	3.1687e-08
369.2	2.9359e-08
369.4	2.7202e-08
369.6	2.5204e-08
369.8	2.3353e-08
370.0	2.1637e-08
370.2	2.0048e-08
370.4	1.8575e-08
370.6	1.721e-08
370.8	1.8985e-08
371.0	2.265e-08
371.2	2.7023e-08
371.4	3.2239e-08
371.6	3.8463e-08
371.8	4.5888e-08
372.0	5.4746e-08
372.2	6.5314e-08
372.4	7.7923e-08
372.6	9.2966e-08
372.8	1.1091e-07
373.0	1.3232e-07
373.2	1.5787e-07
373.4	1.8834e-07
373.6	2.247e-07
373.8	2.6808e-07
374.0	3.1983e-07
374.2	3.8157e-07
374.4	4.392e-07
374.6	3.6609e-07
374.8	3.0516e-07
375.0	2.5436e-07
375.2	2.1203e-07
375.4	1.7673e-07
375.6	1.4732e-07
375.8	1.228e-07
376.0	1.0236e-07
376.2	8.5319e-08
376.4	7.1118e-08
376.6	5.928e-08
376.8	4.9413e-08
377.0	4.1188e-08
377.2	3.4332e-08
377.4	2.8618e-08
377.6	2.3854e-08
377.8	1.9884e-08
378.0	1.6574e-08
378.2	1.5141e-08
378.4	1.5077e-08
378.6	1.5014e-08
378.8	1.4951e-08
379.0	1.4889e-08
379.2	1.4826e-08
379.4	1.4764e-08
379.6	1.4703e-08
379.8	1.4641e-08
380.0	1.458e-08
380.2	1.4519e-08
380.4	1.4458e-08
380.6	1.4397e-08
380.8	1.4337e-08
381.0	1.4277e-08
381.2	1.4217e-08
381.4	1.4158e-08
381.6	1.4099e-08
381.8	1.404e-08
382.0	1.397e-08
382.2	1.39e-08
382.4	1.3831e-08
382.6	1.3762e-08
382.8	1.3693e-08
383.0	1.3624e-08
383.2	1.3556e-08
383.4	1.3488e-08
383.6	1.3421e-08
383.8	1.3354e-08
384.0	1.3287e-08
384.2	1.322e-08
384.4	1.3154e-08
384.6	1.3089e-08
384.8	1.3023e-08
385.0	1.2958e-08
385.2	1.2893e-08
385.4	1.2829e-08
385.6	1.3947e-08
385.8	1.763e-08
386.0	2.2287e-08
386.2	2.8173e-08
386.4	3.5614e-08
386.6	4.5021e-08
386.8	5.6912e-08
387.0	7.1943e-08
387.2	9.0945e-08
387.4	1.1497e-07
387.6	1.4533e-07
387.8	1.8372e-07
388.0	2.3224e-07
388.2	2.9358e-07
388.4	3.7112e-07
388.6	4.6914e-07
388.8	5.9305e-07
389.0	7.4968e-07
