Typical Measured Spectrum of Semrock FF01-731/137 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
265.0	2.2616e-06
265.2	2.3527e-06
265.4	2.4474e-06
265.6	2.5459e-06
265.8	2.6484e-06
266.0	2.7551e-06
266.2	2.866e-06
266.4	2.9814e-06
266.6	3.1014e-06
266.8	3.2263e-06
267.0	3.321e-06
267.2	3.0513e-06
267.4	2.8036e-06
267.6	2.576e-06
267.8	2.3668e-06
268.0	2.1747e-06
268.2	1.9981e-06
268.4	1.8359e-06
268.6	1.6868e-06
268.8	1.5499e-06
269.0	1.424e-06
269.2	1.3084e-06
269.4	1.2022e-06
269.6	1.1046e-06
269.8	1.0149e-06
270.0	9.3249e-07
270.2	8.5679e-07
270.4	7.8722e-07
270.6	7.2331e-07
270.8	7.3481e-07
271.0	8.5053e-07
271.2	9.8447e-07
271.4	1.1395e-06
271.6	1.319e-06
271.8	1.5267e-06
272.0	1.7671e-06
272.2	2.0454e-06
272.4	2.3675e-06
272.6	2.7403e-06
272.8	3.1719e-06
273.0	3.6714e-06
273.2	4.2496e-06
273.4	4.9188e-06
273.6	5.6934e-06
273.8	6.59e-06
274.0	7.6278e-06
274.2	8.8291e-06
274.4	1.0219e-05
274.6	6.1072e-06
274.8	3.0615e-06
275.0	1.5347e-06
275.2	1.585e-06
275.4	1.637e-06
275.6	1.5824e-06
275.8	1.4817e-06
276.0	1.3875e-06
276.2	1.2992e-06
276.4	1.2165e-06
276.6	1.1391e-06
276.8	1.0666e-06
277.0	9.9877e-07
277.2	9.3523e-07
277.4	8.7572e-07
277.6	8.2e-07
277.8	7.6783e-07
278.0	7.1898e-07
278.2	6.7323e-07
278.4	6.304e-07
278.6	5.9029e-07
278.8	5.5273e-07
279.0	5.1756e-07
279.2	4.8536e-07
279.4	4.7764e-07
279.6	4.7005e-07
279.8	4.6258e-07
280.0	4.5523e-07
280.2	4.4799e-07
280.4	4.4087e-07
280.6	4.3387e-07
280.8	4.2697e-07
281.0	4.2018e-07
281.2	4.135e-07
281.4	4.0693e-07
281.6	4.0047e-07
281.8	3.941e-07
282.0	3.8784e-07
282.2	3.8167e-07
282.4	3.7561e-07
282.6	3.6964e-07
282.8	3.6376e-07
283.0	3.5784e-07
283.2	3.5181e-07
283.4	3.4588e-07
283.6	3.4004e-07
283.8	3.3431e-07
284.0	3.2867e-07
284.2	3.2313e-07
284.4	3.1768e-07
284.6	3.1233e-07
284.8	3.0706e-07
285.0	3.0188e-07
285.2	2.9679e-07
285.4	2.9178e-07
285.6	2.8712e-07
285.8	2.8261e-07
286.0	2.7818e-07
286.2	2.7381e-07
286.4	2.6951e-07
286.6	2.6528e-07
286.8	2.6112e-07
287.0	2.5702e-07
287.2	2.5299e-07
287.4	2.4902e-07
287.6	2.4511e-07
287.8	2.4126e-07
288.0	2.3747e-07
288.2	2.3375e-07
288.4	2.3008e-07
288.6	2.2647e-07
288.8	2.2291e-07
289.0	2.1942e-07
289.2	2.1602e-07
289.4	2.1308e-07
289.6	2.1018e-07
289.8	2.0731e-07
290.0	2.0449e-07
290.2	2.017e-07
290.4	1.9895e-07
290.6	1.9624e-07
290.8	1.9357e-07
291.0	1.9093e-07
291.2	1.8833e-07
291.4	1.8577e-07
291.6	1.8324e-07
291.8	1.8074e-07
292.0	1.7828e-07
292.2	1.7585e-07
292.4	1.7345e-07
292.6	1.7109e-07
292.8	1.6876e-07
293.0	1.7844e-07
293.2	2.0343e-07
293.4	2.3191e-07
293.6	2.6438e-07
293.8	3.0141e-07
294.0	3.4361e-07
294.2	3.9173e-07
294.4	4.4658e-07
294.6	5.0911e-07
294.8	5.804e-07
295.0	6.6167e-07
295.2	7.0419e-07
295.4	7.4945e-07
295.6	7.9761e-07
295.8	8.4886e-07
296.0	9.0341e-07
296.2	9.6147e-07
296.4	1.0233e-06
296.6	1.089e-06
296.8	1.159e-06
297.0	1.2335e-06
297.2	1.3127e-06
297.4	1.3971e-06
297.6	1.4869e-06
297.8	1.5824e-06
298.0	1.5932e-06
298.2	1.4091e-06
298.4	1.2464e-06
298.6	1.1024e-06
298.8	9.7502e-07
299.0	8.6239e-07
299.2	7.6276e-07
299.4	6.7465e-07
299.6	5.9671e-07
299.8	5.2778e-07
300.0	4.6681e-07
300.2	4.1288e-07
300.4	3.6519e-07
300.6	3.23e-07
300.8	2.8569e-07
301.0	2.5268e-07
301.2	2.2349e-07
301.4	1.9768e-07
301.6	1.7484e-07
301.8	1.6635e-07
302.0	1.6394e-07
302.2	1.6157e-07
302.4	1.5923e-07
302.6	1.5692e-07
302.8	1.5465e-07
303.0	1.524e-07
303.2	1.502e-07
303.4	1.4802e-07
303.6	1.4587e-07
303.8	1.4376e-07
304.0	1.4168e-07
304.2	1.3962e-07
304.4	1.376e-07
304.6	1.3561e-07
304.8	1.3364e-07
305.0	1.3171e-07
305.2	1.2978e-07
305.4	1.2788e-07
305.6	1.2632e-07
305.8	1.2567e-07
306.0	1.2502e-07
306.2	1.2438e-07
306.4	1.2373e-07
306.6	1.231e-07
306.8	1.2246e-07
307.0	1.2183e-07
307.2	1.212e-07
307.4	1.2058e-07
307.6	1.1996e-07
307.8	1.1934e-07
308.0	1.1872e-07
308.2	1.1811e-07
308.4	1.175e-07
308.6	1.1689e-07
308.8	1.1629e-07
309.0	1.1569e-07
309.2	1.1509e-07
309.4	1.1467e-07
309.6	1.1435e-07
309.8	1.1403e-07
310.0	1.1371e-07
310.2	1.1339e-07
310.4	1.1307e-07
310.6	1.1276e-07
310.8	1.1244e-07
311.0	1.1213e-07
311.2	1.1181e-07
311.4	1.115e-07
311.6	1.1119e-07
311.8	1.1088e-07
312.0	1.1057e-07
312.2	1.1026e-07
312.4	1.0995e-07
312.6	1.0964e-07
312.8	1.0933e-07
313.0	1.0903e-07
313.2	1.085e-07
313.4	1.0798e-07
313.6	1.0745e-07
313.8	1.0693e-07
314.0	1.0641e-07
314.2	1.0589e-07
314.4	1.0538e-07
314.6	1.0487e-07
314.8	1.0436e-07
315.0	1.0385e-07
315.2	1.0334e-07
315.4	1.0284e-07
315.6	1.0234e-07
315.8	1.0184e-07
316.0	1.0135e-07
316.2	1.0086e-07
316.4	1.0037e-07
316.6	9.9879e-08
316.8	1.0313e-07
317.0	1.1403e-07
317.2	1.2609e-07
317.4	1.3943e-07
317.6	1.5417e-07
317.8	1.7048e-07
318.0	1.885e-07
318.2	2.0844e-07
318.4	2.3048e-07
318.6	2.5485e-07
318.8	2.818e-07
319.0	3.116e-07
319.2	3.4456e-07
319.4	3.8099e-07
319.6	4.2128e-07
319.8	4.6583e-07
320.0	5.1509e-07
320.2	5.6956e-07
320.4	6.298e-07
320.6	5.9831e-07
320.8	5.3737e-07
321.0	4.8264e-07
321.2	4.3348e-07
321.4	3.8932e-07
321.6	3.4967e-07
321.8	3.1405e-07
322.0	2.8206e-07
322.2	2.5333e-07
322.4	2.2753e-07
322.6	2.0435e-07
322.8	1.8354e-07
323.0	1.6484e-07
323.2	1.4805e-07
323.4	1.3297e-07
323.6	1.1943e-07
323.8	1.0726e-07
324.0	9.6337e-08
324.2	8.7483e-08
324.4	8.6475e-08
324.6	8.5478e-08
324.8	8.4492e-08
325.0	8.3518e-08
325.2	8.2556e-08
325.4	8.1604e-08
325.6	8.0663e-08
325.8	7.9733e-08
326.0	7.8814e-08
326.2	7.7905e-08
326.4	7.7007e-08
326.6	7.6119e-08
326.8	7.5242e-08
327.0	7.4374e-08
327.2	7.3517e-08
327.4	7.2669e-08
327.6	7.1832e-08
327.8	7.1003e-08
328.0	7.0216e-08
328.2	6.9466e-08
328.4	6.8724e-08
328.6	6.799e-08
328.8	6.7264e-08
329.0	6.6545e-08
329.2	6.5835e-08
329.4	6.5132e-08
329.6	6.4436e-08
329.8	6.3748e-08
330.0	6.3067e-08
330.2	6.2394e-08
330.4	6.1727e-08
330.6	6.1068e-08
330.8	6.0416e-08
331.0	5.9771e-08
331.2	5.9132e-08
331.4	5.8501e-08
331.6	5.7876e-08
331.8	6.3929e-08
332.0	7.139e-08
332.2	7.9721e-08
332.4	8.9024e-08
332.6	9.9413e-08
332.8	1.1101e-07
333.0	1.2397e-07
333.2	1.3844e-07
333.4	1.5459e-07
333.6	1.7263e-07
333.8	1.9278e-07
334.0	2.1528e-07
334.2	2.404e-07
334.4	2.6845e-07
334.6	2.9978e-07
334.8	3.3476e-07
335.0	3.7383e-07
335.2	1.7571e-07
335.4	8.2591e-08
335.6	4.9081e-08
335.8	4.8572e-08
336.0	4.8069e-08
336.2	4.7571e-08
336.4	4.7078e-08
336.6	4.659e-08
336.8	4.6107e-08
337.0	4.5629e-08
337.2	4.5156e-08
337.4	4.4688e-08
337.6	4.4225e-08
337.8	4.3767e-08
338.0	4.3313e-08
338.2	4.2864e-08
338.4	4.242e-08
338.6	4.198e-08
338.8	4.1545e-08
339.0	4.1114e-08
339.2	4.0688e-08
339.4	4.5324e-08
339.6	5.3113e-08
339.8	6.224e-08
340.0	7.2936e-08
340.2	8.547e-08
340.4	1.0016e-07
340.6	1.1737e-07
340.8	1.3754e-07
341.0	1.6118e-07
341.2	1.8888e-07
341.4	2.2134e-07
341.6	2.5937e-07
341.8	3.0395e-07
342.0	3.5618e-07
342.2	4.1739e-07
342.4	4.8912e-07
342.6	5.7318e-07
342.8	6.7168e-07
343.0	7.6681e-07
343.2	6.7212e-07
343.4	5.8912e-07
343.6	5.1637e-07
343.8	4.5261e-07
344.0	3.9672e-07
344.2	3.4773e-07
344.4	3.0479e-07
344.6	2.6715e-07
344.8	2.3416e-07
345.0	2.0524e-07
345.2	1.799e-07
345.4	1.5768e-07
345.6	1.3821e-07
345.8	1.2114e-07
346.0	1.0618e-07
346.2	9.3072e-08
346.4	8.1579e-08
346.6	7.1505e-08
346.8	7.0503e-08
347.0	7.877e-08
347.2	8.8005e-08
347.4	9.8324e-08
347.6	1.0985e-07
347.8	1.2273e-07
348.0	1.3712e-07
348.2	1.532e-07
348.4	1.7116e-07
348.6	1.9123e-07
348.8	2.1365e-07
349.0	2.387e-07
349.2	2.6669e-07
349.4	2.9796e-07
349.6	3.3289e-07
349.8	3.7192e-07
350.0	4.1553e-07
350.2	4.6425e-07
350.4	5.1868e-07
350.6	5.7779e-07
350.8	6.434e-07
351.0	7.1646e-07
351.2	7.9781e-07
351.4	8.8841e-07
351.6	9.8929e-07
351.8	1.1016e-06
352.0	1.2267e-06
352.2	1.366e-06
352.4	1.5211e-06
352.6	1.6939e-06
352.8	1.8862e-06
353.0	2.1004e-06
353.2	2.3389e-06
353.4	2.6045e-06
353.6	2.9002e-06
353.8	3.2296e-06
354.0	3.5963e-06
354.2	4.0371e-06
354.4	4.6162e-06
354.6	5.2784e-06
354.8	6.0355e-06
355.0	6.9012e-06
355.2	7.8911e-06
355.4	9.023e-06
355.6	1.0317e-05
355.8	1.1797e-05
356.0	1.3489e-05
356.2	1.5424e-05
356.4	1.7637e-05
356.6	2.0166e-05
356.8	2.3059e-05
357.0	2.6367e-05
357.2	3.0149e-05
357.4	3.4473e-05
357.6	3.9418e-05
357.8	4.5072e-05
358.0	4.7244e-05
358.2	4.7914e-05
358.4	4.8593e-05
358.6	4.9282e-05
358.8	4.9981e-05
359.0	5.069e-05
359.2	5.1408e-05
359.4	5.2137e-05
359.6	5.2877e-05
359.8	5.3626e-05
360.0	5.4387e-05
360.2	5.5158e-05
360.4	5.594e-05
360.6	5.6733e-05
360.8	5.7537e-05
361.0	5.8353e-05
361.2	5.9181e-05
361.4	6.002e-05
361.6	6.0211e-05
361.8	5.6919e-05
362.0	5.3807e-05
362.2	5.0866e-05
362.4	4.8085e-05
362.6	4.5456e-05
362.8	4.2971e-05
363.0	4.0622e-05
363.2	3.8401e-05
363.4	3.6301e-05
363.6	3.4317e-05
363.8	3.2441e-05
364.0	3.0667e-05
364.2	2.8991e-05
364.4	2.7406e-05
364.6	2.5907e-05
364.8	2.4491e-05
365.0	2.3152e-05
365.2	2.3147e-05
365.4	2.3142e-05
365.6	2.5244e-05
365.8	2.7651e-05
366.0	3.0286e-05
366.2	3.128e-05
366.4	3.0904e-05
366.6	3.0533e-05
366.8	3.0006e-05
367.0	2.8803e-05
367.2	2.7649e-05
367.4	2.654e-05
367.6	3.2045e-05
367.8	4.0976e-05
368.0	5.2395e-05
368.2	5.5586e-05
368.4	4.5568e-05
368.6	3.7355e-05
368.8	3.0765e-05
369.0	2.8801e-05
369.2	2.6961e-05
369.4	2.5239e-05
369.6	2.6139e-05
369.8	2.8584e-05
370.0	3.1258e-05
370.2	3.2898e-05
370.4	3.1136e-05
370.6	2.9469e-05
370.8	2.7891e-05
371.0	2.6588e-05
371.2	2.5369e-05
371.4	2.4207e-05
371.6	2.4045e-05
371.8	2.4864e-05
372.0	2.5712e-05
372.2	2.7204e-05
372.4	3.4046e-05
372.6	4.2608e-05
372.8	5.3325e-05
373.0	4.9453e-05
373.2	4.1166e-05
373.4	3.4267e-05
373.6	3.0056e-05
373.8	2.8989e-05
374.0	2.7961e-05
374.2	2.6968e-05
374.4	3.2499e-05
374.6	3.9433e-05
374.8	4.7848e-05
375.0	6.6848e-05
375.2	1.0301e-04
375.4	1.5873e-04
375.6	2.0658e-04
375.8	1.4246e-04
376.0	9.8245e-05
376.2	6.7751e-05
376.4	6.9576e-05
376.6	7.7746e-05
376.8	8.6877e-05
377.0	1.2054e-04
377.2	2.1911e-04
377.4	3.9827e-04
377.6	6.8081e-04
377.8	4.813e-04
378.0	3.4025e-04
378.2	2.4054e-04
378.4	2.1528e-04
378.6	2.1476e-04
378.8	2.1424e-04
379.0	2.6865e-04
379.2	5.6742e-04
379.4	0.0012
379.6	0.00253
379.8	0.00215
380.0	0.0017
380.2	0.00134
380.4	0.00105
380.6	8.0165e-04
380.8	6.1466e-04
381.0	5.2486e-04
381.2	7.7286e-04
381.4	0.00114
381.6	0.00168
381.8	0.00234
382.0	0.00321
382.2	0.00442
382.4	0.00397
382.6	0.00194
382.8	9.4405e-04
383.0	4.6894e-04
383.2	4.244e-04
383.4	3.8409e-04
383.6	3.476e-04
383.8	5.1506e-04
384.0	9.9524e-04
384.2	0.00192
384.4	0.00317
384.6	0.00344
384.8	0.00373
385.0	0.00404
385.2	0.00196
385.4	8.6668e-04
385.6	3.8301e-04
385.8	2.371e-04
386.0	2.0034e-04
386.2	1.6928e-04
386.4	1.5208e-04
386.6	1.9915e-04
386.8	2.608e-04
387.0	3.4153e-04
387.2	5.5049e-04
387.4	9.4575e-04
387.6	0.00162
387.8	0.00169
388.0	8.0311e-04
388.2	3.8148e-04
388.4	1.8208e-04
388.6	1.4013e-04
388.8	1.0784e-04
389.0	8.2992e-05
389.2	8.2396e-05
389.4	9.4702e-05
389.6	1.0885e-04
389.8	1.4957e-04
