Typical Measured Spectrum of Semrock LD01-640/8 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
300.0	6.5336e-06
300.2	6.5354e-06
300.4	6.5372e-06
300.6	6.539e-06
300.8	6.5408e-06
301.0	6.5425e-06
301.2	6.5443e-06
301.4	6.5461e-06
301.6	6.5479e-06
301.8	6.5497e-06
302.0	6.5515e-06
302.2	6.5533e-06
302.4	6.5551e-06
302.6	6.5568e-06
302.8	6.5586e-06
303.0	6.5604e-06
303.2	6.5622e-06
303.4	6.564e-06
303.6	6.5658e-06
303.8	6.5669e-06
304.0	6.5572e-06
304.2	6.5475e-06
304.4	6.5378e-06
304.6	6.5282e-06
304.8	6.5186e-06
305.0	6.5089e-06
305.2	5.5108e-06
305.4	6.6953e-06
305.6	1.2601e-05
305.8	6.5505e-06
306.0	5.4711e-06
306.2	2.8135e-06
306.4	1.0931e-05
306.6	3.6361e-06
306.8	1.7005e-05
307.0	9.7852e-06
307.2	5.2575e-06
307.4	5.233e-06
307.6	2.6102e-06
307.8	3.6546e-06
308.0	1.0746e-05
308.2	9.2622e-06
308.4	1.4246e-05
308.6	5.8614e-06
308.8	3.0561e-06
309.0	1.2718e-05
309.2	5.9529e-06
309.4	2.751e-06
309.6	2.783e-06
309.8	2.8222e-06
310.0	2.8708e-06
310.2	4.8135e-06
310.4	6.7531e-06
310.6	2.975e-06
310.8	1.1422e-05
311.0	1.1866e-05
311.2	1.3022e-05
311.4	1.7806e-05
311.6	8.5876e-06
311.8	5.4534e-06
312.0	2.8531e-06
312.2	2.5623e-06
312.4	3.4951e-06
312.6	1.3102e-05
312.8	5.7012e-06
313.0	6.9603e-06
313.2	5.0268e-06
313.4	5.5334e-06
313.6	8.6675e-06
313.8	4.7249e-06
314.0	9.9051e-06
314.2	7.8469e-06
314.4	7.4388e-06
314.6	3.12e-06
314.8	8.856e-06
315.0	5.8874e-06
315.2	2.964e-06
315.4	8.0413e-06
315.6	4.746e-06
315.8	4.7264e-06
316.0	4.7157e-06
316.2	4.7075e-06
316.4	9.3676e-06
316.6	2.629e-06
316.8	1.8742e-05
317.0	9.1984e-06
317.2	1.8464e-05
317.4	1.1776e-05
317.6	9.0597e-06
317.8	1.7741e-05
318.0	6.996e-06
318.2	1.0681e-05
318.4	1.4193e-05
318.6	3.775e-06
318.8	7.2794e-06
319.0	2.3413e-06
319.2	1.0256e-05
319.4	1.0078e-05
319.6	1.1451e-05
319.8	1.2021e-05
320.0	1.0477e-05
320.2	4.7823e-06
320.4	1.6184e-05
320.6	1.4472e-05
320.8	1.3901e-05
321.0	1.3663e-05
321.2	1.6237e-05
321.4	2.9555e-05
321.6	1.8313e-05
321.8	2.4993e-05
322.0	2.9093e-05
322.2	4.138e-05
322.4	3.6622e-05
322.6	2.5357e-05
322.8	2.449e-05
323.0	2.8359e-05
323.2	3.6722e-05
323.4	4.0463e-05
323.6	3.1143e-05
323.8	3.3723e-05
324.0	3.8483e-05
324.2	4.2406e-05
324.4	3.1632e-05
324.6	3.0862e-05
324.8	3.1285e-05
325.0	3.5289e-05
325.2	3.6943e-05
325.4	3.224e-05
325.6	3.3534e-05
325.8	3.4941e-05
326.0	2.4699e-05
326.2	3.4398e-05
326.4	3.0125e-05
326.6	3.1215e-05
326.8	3.7017e-05
327.0	2.8346e-05
327.2	2.3646e-05
327.4	2.0729e-05
327.6	2.7901e-05
327.8	2.7028e-05
328.0	1.6789e-05
328.2	1.8191e-05
328.4	2.1973e-05
328.6	1.5823e-05
328.8	1.6918e-05
329.0	2.1552e-05
329.2	2.4347e-05
329.4	1.196e-05
329.6	1.3441e-05
329.8	1.0568e-05
330.0	1.4389e-05
330.2	2.417e-05
330.4	1.4761e-05
330.6	1.1412e-05
330.8	9.9727e-06
331.0	1.1821e-05
331.2	1.8636e-05
331.4	1.107e-05
331.6	1.4126e-05
331.8	1.1149e-05
332.0	1.6623e-05
332.2	1.2179e-05
332.4	1.8666e-05
332.6	9.6665e-06
332.8	1.701e-05
333.0	2.0265e-05
333.2	1.9434e-05
333.4	2.077e-05
333.6	1.8925e-05
333.8	1.8797e-05
334.0	1.8721e-05
334.2	2.0332e-05
334.4	1.7863e-05
334.6	2.1009e-05
334.8	2.3729e-05
335.0	2.2967e-05
335.2	2.0918e-05
335.4	1.8468e-05
335.6	2.265e-05
335.8	1.548e-05
336.0	1.5174e-05
336.2	1.9447e-05
336.4	2.3992e-05
336.6	2.1544e-05
336.8	2.3946e-05
337.0	1.7669e-05
337.2	1.8234e-05
337.4	1.9605e-05
337.6	2.0675e-05
337.8	2.1565e-05
338.0	2.4904e-05
338.2	2.0255e-05
338.4	2.4753e-05
338.6	2.3518e-05
338.8	1.9933e-05
339.0	1.8217e-05
339.2	1.6282e-05
339.4	2.2674e-05
339.6	2.1898e-05
339.8	1.987e-05
340.0	2.4799e-05
340.2	2.2958e-05
340.4	2.9146e-05
340.6	2.8351e-05
340.8	2.7014e-05
341.0	2.8639e-05
341.2	2.3471e-05
341.4	3.4336e-05
341.6	2.7928e-05
341.8	2.5762e-05
342.0	2.7386e-05
342.2	2.5569e-05
342.4	3.1785e-05
342.6	3.7474e-05
342.8	3.3198e-05
343.0	3.3464e-05
343.2	3.4036e-05
343.4	3.4928e-05
343.6	3.7495e-05
343.8	4.2965e-05
344.0	4.3518e-05
344.2	4.6421e-05
344.4	5.0266e-05
344.6	4.7888e-05
344.8	5.3625e-05
345.0	5.518e-05
345.2	5.5971e-05
345.4	5.6907e-05
345.6	5.4362e-05
345.8	5.8084e-05
346.0	5.7782e-05
346.2	6.5427e-05
346.4	6.2301e-05
346.6	6.123e-05
346.8	6.8432e-05
347.0	7.6022e-05
347.2	7.7626e-05
347.4	8.1196e-05
347.6	8.419e-05
347.8	8.6484e-05
348.0	9.0477e-05
348.2	9.6233e-05
348.4	1.0896e-04
348.6	1.1652e-04
348.8	1.2032e-04
349.0	1.3123e-04
349.2	1.4112e-04
349.4	1.5576e-04
349.6	1.6889e-04
349.8	1.9187e-04
350.0	2.1926e-04
350.2	2.4028e-04
350.4	2.8096e-04
350.6	3.21e-04
350.8	3.8527e-04
351.0	4.4742e-04
351.2	5.213e-04
351.4	6.5177e-04
351.6	7.5465e-04
351.8	9.0747e-04
352.0	0.00107
352.2	0.00123
352.4	0.00136
352.6	0.00144
352.8	0.00144
353.0	0.00137
353.2	0.00124
353.4	0.00109
353.6	9.0611e-04
353.8	7.2822e-04
354.0	5.785e-04
354.2	4.5444e-04
354.4	3.7814e-04
354.6	3.2495e-04
354.8	2.8432e-04
355.0	2.7117e-04
355.2	2.3336e-04
355.4	1.9857e-04
355.6	1.5495e-04
355.8	1.1785e-04
356.0	9.4758e-05
356.2	7.5364e-05
356.4	6.1471e-05
356.6	5.4685e-05
356.8	5.3581e-05
357.0	4.9587e-05
357.2	4.3244e-05
357.4	4.7238e-05
357.6	4.4078e-05
357.8	4.5456e-05
358.0	4.7366e-05
358.2	4.2546e-05
358.4	4.6401e-05
358.6	4.9954e-05
358.8	5.0242e-05
359.0	5.0366e-05
359.2	5.3675e-05
359.4	5.6126e-05
359.6	5.8792e-05
359.8	6.2978e-05
360.0	7.4166e-05
360.2	8.9606e-05
360.4	1.287e-04
360.6	2.0487e-04
360.8	3.5682e-04
361.0	6.6976e-04
361.2	0.00122
361.4	0.00202
361.6	0.0028
361.8	0.00339
362.0	0.00369
362.2	0.00368
362.4	0.0035
362.6	0.00321
362.8	0.00292
363.0	0.00273
363.2	0.00256
363.4	0.00249
363.6	0.00248
363.8	0.00253
364.0	0.00262
364.2	0.00275
364.4	0.00297
364.6	0.0032
364.8	0.00364
365.0	0.00411
365.2	0.0047
365.4	0.00568
365.6	0.00715
365.8	0.00948
366.0	0.0129
366.2	0.01797
366.4	0.02352
366.6	0.02611
366.8	0.02336
367.0	0.01758
367.2	0.01247
367.4	0.00889
367.6	0.00656
367.8	0.0051
368.0	0.00412
368.2	0.00345
368.4	0.00295
368.6	0.00259
368.8	0.00233
369.0	0.00212
369.2	0.00201
369.4	0.00191
369.6	0.00181
369.8	0.00174
370.0	0.00172
370.2	0.00173
370.4	0.00173
370.6	0.00185
370.8	0.00197
371.0	0.00217
371.2	0.00249
371.4	0.00281
371.6	0.00314
371.8	0.00345
372.0	0.00358
372.2	0.00357
372.4	0.00325
372.6	0.00283
372.8	0.00235
373.0	0.0019
373.2	0.00157
373.4	0.00126
373.6	0.00105
373.8	8.843e-04
374.0	7.9123e-04
374.2	7.0052e-04
374.4	6.5364e-04
374.6	6.0416e-04
374.8	6.011e-04
375.0	5.8021e-04
375.2	5.6856e-04
375.4	5.7007e-04
375.6	5.5209e-04
375.8	5.618e-04
376.0	5.4709e-04
376.2	5.4678e-04
376.4	5.7782e-04
376.6	6.2913e-04
376.8	6.7071e-04
377.0	7.5501e-04
377.2	8.7971e-04
377.4	0.00103
377.6	0.00117
377.8	0.00126
378.0	0.0012
378.2	0.00108
378.4	9.0532e-04
378.6	7.0243e-04
378.8	5.7403e-04
379.0	4.5342e-04
379.2	3.9675e-04
379.4	3.4408e-04
379.6	2.7941e-04
379.8	2.5577e-04
380.0	2.3107e-04
380.2	2.0419e-04
380.4	1.8608e-04
380.6	1.6673e-04
380.8	1.5088e-04
381.0	1.4131e-04
381.2	1.3468e-04
381.4	1.2438e-04
381.6	1.2349e-04
381.8	1.1194e-04
382.0	1.1442e-04
382.2	1.0395e-04
382.4	1.0856e-04
382.6	1.0727e-04
382.8	1.0436e-04
383.0	1.1128e-04
383.2	1.1219e-04
383.4	1.117e-04
383.6	1.1843e-04
383.8	1.2262e-04
384.0	1.2811e-04
384.2	1.3608e-04
384.4	1.57e-04
384.6	1.675e-04
384.8	1.9692e-04
385.0	2.3517e-04
385.2	2.8873e-04
385.4	3.7693e-04
385.6	4.9347e-04
385.8	6.4993e-04
386.0	7.9283e-04
386.2	7.7822e-04
386.4	5.9462e-04
386.6	4.0982e-04
386.8	2.7168e-04
387.0	6.1638e-04
387.2	1.7181e-04
387.4	1.2574e-04
387.6	9.5257e-05
387.8	8.5278e-05
388.0	7.3716e-05
388.2	7.1696e-05
388.4	6.8431e-05
388.6	5.6618e-05
388.8	5.8304e-05
389.0	5.4641e-05
389.2	5.3545e-05
389.4	4.7799e-05
389.6	4.6267e-05
389.8	4.6119e-05
390.0	3.8799e-05
390.2	4.06e-05
390.4	3.8694e-05
390.6	4.1707e-05
390.8	3.8574e-05
391.0	3.8797e-05
391.2	3.5542e-05
391.4	3.9414e-05
391.6	3.6981e-05
391.8	3.5518e-05
392.0	3.8589e-05
392.2	3.848e-05
392.4	3.7047e-05
392.6	4.1168e-05
392.8	3.7846e-05
393.0	4.5547e-05
393.2	4.245e-05
393.4	4.3122e-05
393.6	4.4666e-05
393.8	4.3806e-05
394.0	5.0345e-05
394.2	5.6202e-05
394.4	6.0829e-05
394.6	7.6069e-05
394.8	9.1443e-05
395.0	4.9358e-05
395.2	4.9735e-05
395.4	5.0115e-05
395.6	5.0498e-05
395.8	5.0883e-05
396.0	5.1272e-05
396.2	5.1664e-05
396.4	5.2058e-05
396.6	5.2456e-05
396.8	5.2857e-05
397.0	5.3261e-05
397.2	5.3667e-05
397.4	5.4077e-05
397.6	5.4491e-05
397.8	5.4907e-05
398.0	5.5836e-05
398.2	5.6894e-05
398.4	5.7973e-05
398.6	5.9073e-05
398.8	6.0193e-05
399.0	6.1334e-05
399.2	6.2497e-05
399.4	6.3682e-05
399.6	6.489e-05
399.8	6.612e-05
400.0	6.7374e-05
400.2	6.8652e-05
400.4	6.9954e-05
400.6	7.128e-05
400.8	7.2632e-05
401.0	7.4009e-05
401.2	7.5413e-05
401.4	7.6843e-05
401.6	7.83e-05
401.8	7.9785e-05
402.0	7.6532e-05
402.2	6.9506e-05
402.4	6.3126e-05
402.6	5.7332e-05
402.8	5.2069e-05
403.0	4.7289e-05
403.2	4.2948e-05
403.4	3.9006e-05
403.6	3.5425e-05
403.8	3.2174e-05
404.0	2.922e-05
404.2	2.6538e-05
404.4	2.4102e-05
404.6	2.1889e-05
404.8	1.988e-05
405.0	1.8055e-05
405.2	1.7042e-05
405.4	1.6086e-05
405.6	1.5184e-05
405.8	1.4332e-05
406.0	1.3528e-05
406.2	1.2769e-05
406.4	1.2053e-05
406.6	1.1377e-05
406.8	1.0738e-05
407.0	1.0136e-05
407.2	9.5672e-06
407.4	9.0305e-06
407.6	8.5239e-06
407.8	8.0457e-06
408.0	8.7048e-06
408.2	9.7447e-06
408.4	1.0909e-05
408.6	1.2212e-05
408.8	1.3671e-05
409.0	1.5304e-05
409.2	1.7132e-05
409.4	1.9179e-05
409.6	2.147e-05
409.8	2.4035e-05
410.0	2.6906e-05
410.2	3.0121e-05
410.4	3.3719e-05
410.6	3.7747e-05
410.8	4.2257e-05
411.0	4.7305e-05
411.2	5.2956e-05
411.4	5.9283e-05
411.6	6.6365e-05
411.8	7.4293e-05
412.0	7.4229e-05
412.2	6.6633e-05
412.4	5.9815e-05
412.6	5.3694e-05
412.8	4.82e-05
413.0	4.3268e-05
413.2	3.884e-05
413.4	3.4866e-05
413.6	3.1298e-05
413.8	2.8096e-05
414.0	2.5221e-05
414.2	2.264e-05
414.4	2.0323e-05
414.6	1.8244e-05
414.8	1.6377e-05
415.0	1.4701e-05
415.2	1.3628e-05
415.4	1.2634e-05
415.6	1.1712e-05
415.8	1.0857e-05
416.0	1.0065e-05
416.2	9.3304e-06
416.4	8.6495e-06
416.6	8.0183e-06
416.8	7.4332e-06
417.0	6.8908e-06
417.2	6.3879e-06
417.4	5.9218e-06
417.6	5.4896e-06
417.8	5.089e-06
418.0	5.5443e-06
418.2	6.297e-06
418.4	7.1519e-06
418.6	8.1229e-06
418.8	9.2258e-06
419.0	1.0478e-05
419.2	1.1901e-05
419.4	1.3517e-05
419.6	1.5352e-05
419.8	1.7436e-05
420.0	1.9804e-05
420.2	2.2492e-05
420.4	2.5546e-05
420.6	2.9014e-05
420.8	3.2954e-05
421.0	3.7428e-05
421.2	4.2509e-05
421.4	4.8281e-05
421.6	5.4836e-05
421.8	6.2281e-05
422.0	6.3941e-05
422.2	5.9803e-05
422.4	5.5932e-05
422.6	5.2313e-05
422.8	4.8927e-05
423.0	4.576e-05
423.2	4.2799e-05
423.4	4.0029e-05
423.6	3.7438e-05
423.8	3.5015e-05
424.0	3.2749e-05
424.2	3.0629e-05
424.4	2.8647e-05
424.6	2.6793e-05
424.8	2.5059e-05
425.0	2.3437e-05
425.2	2.1829e-05
425.4	2.0331e-05
425.6	1.8937e-05
425.8	1.7637e-05
426.0	1.6427e-05
426.2	1.53e-05
426.4	1.4251e-05
426.6	1.3273e-05
426.8	1.2362e-05
427.0	1.1514e-05
427.2	1.0724e-05
427.4	9.9885e-06
