Olympus 20x UPLANSAPO 0.75 NA	
"Wavelength, nm"	T
306.3321756	0.001108582
320.0119396	0.007567184
329.9880729	0.043734553
333.4286586	0.10189384
335.8345085	0.155980433
338.8379829	0.215066573
341.1306422	0.278745283
343.719368	0.349371903
341.6759377	0.309348323
345.9164131	0.414290185
348.7691501	0.486740999
347.1190012	0.447296664
350.6585823	0.535922788
353.7978037	0.583704592
355.9733261	0.623734078
358.9805848	0.667230587
361.0164859	0.705527445
365.4021995	0.745814706
370.686543	0.787062098
376.658488	0.824824532
387.8768001	0.859918437
401.5676588	0.879206828
415.2478098	0.886112981
428.9244777	0.888991177
442.5981784	0.88843815
456.2732981	0.889526143
469.9485469	0.890763319
483.6248277	0.893193964
497.3023987	0.897116445
510.9793245	0.900293008
524.6561214	0.903320388
538.3325312	0.905900216
552.008038	0.90743576
565.6813517	0.906435182
579.3536333	0.904241136
593.026302	0.90249464
606.6992286	0.901046512
620.3711232	0.898404915
634.0439209	0.896807603
647.7152994	0.893569271
661.3875811	0.891375225
675.0583146	0.887390975
688.7286611	0.882959175
702.3978466	0.877184722
716.0652259	0.869321699
729.7307992	0.859370106
743.3949534	0.847777493
757.0574305	0.834245494
770.7186175	0.819221658
784.3777404	0.801810885
798.0359603	0.783355827
811.6925031	0.762961383
825.3477558	0.741075102
839.0022344	0.718293719
852.6563261	0.695064786
866.3097727	0.671089935
879.9629613	0.646816717
893.6160209	0.622394315
907.2695965	0.598568648
920.9231721	0.57474298
934.5772638	0.551514047
948.2320004	0.529031032
961.8866081	0.506398833
975.5427639	0.485556838
989.1991776	0.465013209
999.1344902	0.453975574
